RECORDING_SESSION_LABEL	order_bq3ans	trial	itemid	ACC_B_Q1	ACC_B_Q2	ACC_B_Q3	ACC_T_Q1	ACC_T_Q2	ACC_T_Q3	RESPONSE_B_Q1	RESPONSE_B_Q2	RESPONSE_B_Q3	RESPONSE_T_Q1	RESPONSE_T_Q2	RESPONSE_T_Q3	TOTAL_CORRECT	order_bq1ans	order_bq2ans	order_tq1ans	order_tq2ans	order_tq3ans	topic	version
0	[3, 4, 2, 1]	1	p0	0	0	0	0	1	1	3	3	1	2	3	2	2	[2, 1, 3, 4]	[3, 4, 2, 1]	[4, 2, 3, 1]	[2, 4, 1, 3]	[4, 1, 2, 3]	physik	0
0	[4, 3, 2, 1]	2	b0	0	0	1	1	1	0	3	1	4	3	1	3	5	[2, 4, 3, 1]	[2, 3, 4, 1]	[2, 4, 1, 3]	[1, 4, 3, 2]	[1, 2, 4, 3]	bio	0
0	[2, 1, 3, 4]	3	p3	1	0	0	1	1	1	3	3	3	1	3	4	9	[3, 2, 1, 4]	[4, 2, 3, 1]	[1, 2, 3, 4]	[4, 3, 1, 2]	[3, 4, 2, 1]	physik	0
0	[1, 4, 3, 2]	4	b2	0	1	0	1	1	1	3	1	4	1	4	3	13	[1, 2, 3, 4]	[1, 2, 3, 4]	[1, 3, 4, 2]	[4, 2, 3, 1]	[4, 3, 1, 2]	bio	0
0	[1, 4, 2, 3]	5	b1	0	1	1	1	1	1	3	4	1	1	4	2	18	[4, 1, 2, 3]	[2, 4, 3, 1]	[1, 3, 2, 4]	[3, 4, 2, 1]	[4, 1, 3, 2]	bio	0
0	[1, 2, 3, 4]	6	p2	1	0	0	0	1	1	4	2	4	2	1	2	21	[4, 3, 2, 1]	[2, 3, 4, 1]	[1, 2, 3, 4]	[1, 3, 2, 4]	[3, 1, 2, 4]	physik	0
0	[4, 2, 1, 3]	7	b4	0	0	1	0	0	1	4	3	3	3	1	2	23	[3, 2, 1, 4]	[3, 1, 4, 2]	[2, 3, 4, 1]	[3, 1, 4, 2]	[4, 1, 2, 3]	bio	0
0	[4, 1, 2, 3]	8	b3	0	1	1	1	0	1	1	1	2	4	4	1	27	[2, 3, 4, 1]	[1, 4, 3, 2]	[3, 2, 4, 1]	[1, 3, 4, 2]	[1, 4, 2, 3]	bio	0
0	[1, 3, 2, 4]	9	p1	1	1	0	1	1	1	2	3	3	4	2	4	32	[3, 1, 4, 2]	[4, 3, 1, 2]	[2, 3, 4, 1]	[3, 1, 2, 4]	[3, 2, 4, 1]	physik	0
0	[4, 2, 1, 3]	10	b5	0	1	0	1	1	1	2	2	2	4	1	4	36	[3, 4, 2, 1]	[4, 1, 3, 2]	[2, 4, 3, 1]	[1, 3, 4, 2]	[3, 2, 4, 1]	bio	0
0	[2, 3, 4, 1]	11	p4	1	0	0	1	1	0	1	2	1	2	4	4	39	[1, 2, 4, 3]	[1, 4, 3, 2]	[4, 1, 3, 2]	[3, 2, 4, 1]	[2, 1, 4, 3]	physik	0
10	[2, 4, 1, 3]	1	b0	0	1	0	0	0	0	4	1	4	2	4	2	1	[2, 1, 3, 4]	[1, 4, 2, 3]	[3, 2, 4, 1]	[1, 4, 3, 2]	[4, 2, 3, 1]	bio	10
10	[2, 4, 3, 1]	2	b1	0	1	0	0	1	0	1	1	2	1	2	3	3	[3, 1, 4, 2]	[1, 3, 4, 2]	[2, 4, 1, 3]	[3, 1, 2, 4]	[2, 1, 3, 4]	bio	10
10	[1, 3, 2, 4]	3	p3	0	1	1	1	1	0	1	2	1	1	1	4	7	[2, 1, 4, 3]	[3, 1, 2, 4]	[1, 3, 4, 2]	[1, 3, 4, 2]	[4, 1, 3, 2]	physik	10
10	[2, 4, 1, 3]	4	b3	1	0	1	0	1	1	2	1	3	2	4	2	11	[4, 1, 3, 2]	[3, 4, 1, 2]	[1, 3, 2, 4]	[4, 2, 3, 1]	[3, 1, 4, 2]	bio	10
10	[1, 2, 3, 4]	5	b2	0	1	0	0	0	1	4	4	2	1	2	1	13	[3, 1, 4, 2]	[2, 4, 3, 1]	[3, 1, 2, 4]	[1, 3, 2, 4]	[1, 4, 3, 2]	bio	10
10	[4, 3, 2, 1]	6	p2	0	1	1	1	1	1	4	3	4	2	1	4	18	[4, 1, 3, 2]	[4, 2, 1, 3]	[2, 1, 4, 3]	[1, 3, 4, 2]	[3, 2, 4, 1]	physik	10
10	[4, 1, 2, 3]	7	p0	0	0	0	0	1	1	3	3	1	3	2	1	20	[4, 1, 3, 2]	[1, 4, 2, 3]	[1, 3, 2, 4]	[2, 1, 4, 3]	[1, 3, 2, 4]	physik	10
10	[3, 4, 2, 1]	8	b4	1	0	1	0	0	1	2	1	4	3	4	4	23	[2, 1, 4, 3]	[2, 4, 1, 3]	[1, 3, 2, 4]	[2, 1, 4, 3]	[3, 2, 4, 1]	bio	10
10	[4, 2, 3, 1]	9	p5	0	0	0	1	1	1	4	1	2	2	2	4	26	[1, 3, 4, 2]	[4, 2, 3, 1]	[4, 1, 2, 3]	[2, 1, 4, 3]	[4, 3, 2, 1]	physik	10
10	[2, 3, 4, 1]	10	b5	1	1	0	0	1	1	1	1	1	3	1	4	30	[1, 3, 2, 4]	[1, 4, 3, 2]	[2, 1, 4, 3]	[1, 4, 2, 3]	[4, 2, 3, 1]	bio	10
10	[2, 3, 4, 1]	11	p4	1	0	0	1	1	1	2	2	3	2	2	1	34	[3, 1, 4, 2]	[2, 3, 4, 1]	[4, 1, 2, 3]	[4, 1, 3, 2]	[1, 4, 3, 2]	physik	10
10	[4, 2, 1, 3]	12	p1	1	0	0	0	1	1	4	3	2	1	3	1	37	[4, 3, 2, 1]	[1, 4, 2, 3]	[2, 4, 1, 3]	[3, 2, 1, 4]	[1, 4, 3, 2]	physik	10
100	[1, 3, 4, 2]	1	b2	0	1	1	1	1	1	2	2	1	3	3	2	5	[4, 2, 1, 3]	[3, 1, 4, 2]	[4, 3, 1, 2]	[4, 2, 1, 3]	[3, 1, 2, 4]	bio	100
100	[1, 3, 2, 4]	2	b3	1	1	0	1	1	1	2	3	3	2	4	3	10	[2, 1, 4, 3]	[4, 3, 1, 2]	[2, 1, 3, 4]	[2, 3, 4, 1]	[3, 2, 1, 4]	bio	100
100	[2, 1, 4, 3]	3	p3	0	1	0	1	1	1	2	1	4	3	4	4	14	[3, 2, 4, 1]	[1, 3, 4, 2]	[2, 3, 1, 4]	[2, 4, 3, 1]	[3, 2, 4, 1]	physik	100
100	[4, 2, 3, 1]	4	b4	0	1	0	0	1	1	1	4	3	1	3	3	17	[4, 2, 3, 1]	[4, 3, 2, 1]	[3, 1, 2, 4]	[2, 3, 1, 4]	[3, 2, 1, 4]	bio	100
100	[1, 4, 2, 3]	5	b0	0	1	0	0	1	0	1	4	4	3	2	3	19	[4, 2, 1, 3]	[3, 4, 2, 1]	[1, 4, 2, 3]	[3, 1, 4, 2]	[1, 3, 2, 4]	bio	100
100	[4, 3, 2, 1]	6	p2	1	0	0	1	1	1	2	4	3	3	4	2	23	[4, 1, 2, 3]	[1, 4, 3, 2]	[3, 4, 1, 2]	[2, 3, 4, 1]	[3, 1, 2, 4]	physik	100
100	[2, 1, 3, 4]	7	p4	0	0	0	1	1	1	4	2	1	2	1	1	26	[2, 4, 1, 3]	[3, 2, 4, 1]	[4, 1, 2, 3]	[1, 4, 2, 3]	[1, 2, 4, 3]	physik	100
100	[1, 4, 3, 2]	8	p0	0	1	1	1	0	0	4	3	1	1	2	3	29	[1, 3, 4, 2]	[4, 3, 1, 2]	[1, 4, 2, 3]	[4, 3, 2, 1]	[2, 4, 3, 1]	physik	100
100	[2, 1, 4, 3]	9	p5	0	0	0	0	0	1	1	4	1	2	4	1	30	[3, 2, 4, 1]	[2, 3, 1, 4]	[4, 2, 3, 1]	[2, 4, 1, 3]	[1, 3, 2, 4]	physik	100
100	[4, 3, 2, 1]	10	b5	0	1	1	1	0	1	2	3	4	1	1	1	34	[1, 3, 2, 4]	[4, 3, 1, 2]	[1, 2, 4, 3]	[2, 3, 4, 1]	[1, 4, 3, 2]	bio	100
100	[3, 2, 1, 4]	11	p1	1	0	0	0	1	0	1	3	4	2	2	2	36	[1, 4, 2, 3]	[3, 1, 2, 4]	[3, 4, 2, 1]	[3, 1, 4, 2]	[3, 2, 1, 4]	physik	100
100	[3, 2, 1, 4]	12	b1	0	0	0	1	1	1	3	4	4	4	2	2	39	[1, 2, 3, 4]	[4, 2, 1, 3]	[3, 4, 2, 1]	[2, 1, 3, 4]	[2, 1, 4, 3]	bio	100
101	[3, 2, 1, 4]	1	p1	0	1	0	1	0	1	3	1	4	3	3	4	3	[4, 1, 2, 3]	[1, 4, 3, 2]	[4, 3, 1, 2]	[3, 1, 4, 2]	[3, 2, 4, 1]	physik	101
101	[4, 1, 2, 3]	2	b2	1	0	1	1	0	0	3	3	2	1	3	1	6	[2, 3, 1, 4]	[1, 2, 3, 4]	[1, 4, 3, 2]	[2, 3, 4, 1]	[2, 3, 1, 4]	bio	101
101	[1, 2, 4, 3]	3	p0	0	0	0	0	0	1	1	2	4	4	2	4	7	[4, 2, 3, 1]	[4, 3, 2, 1]	[4, 2, 1, 3]	[3, 4, 1, 2]	[2, 4, 3, 1]	physik	101
101	[3, 4, 2, 1]	4	b5	0	0	0	0	0	1	4	1	1	4	1	1	8	[1, 2, 3, 4]	[3, 2, 4, 1]	[3, 4, 1, 2]	[2, 4, 1, 3]	[1, 4, 2, 3]	bio	101
101	[3, 1, 4, 2]	5	p4	0	0	0	0	0	1	2	4	3	2	1	3	9	[2, 4, 3, 1]	[3, 1, 2, 4]	[1, 4, 2, 3]	[2, 1, 3, 4]	[4, 2, 1, 3]	physik	101
101	[3, 4, 1, 2]	6	b4	0	1	1	0	1	1	2	4	3	4	4	1	13	[1, 3, 2, 4]	[3, 2, 4, 1]	[4, 1, 2, 3]	[3, 4, 2, 1]	[1, 4, 3, 2]	bio	101
