Column_name	Description	Source	Missing value description
order_tq_2_ans	See description of order_bq_1_ans
reader_domain_numeric	Numerical encoding of the reader domain; 0=biology, 1=physics.
Fix	Fixation: 1 if the word was fixated, otherwise 0 (FPF or RR).
text_domain_numeric	Numerical value of text_domain; 0=biology, 1=physics.
tq_1_option3	Option 3 for text question 1.
original_fixation_index	The index of the uncorrected fixation.
neighbors_coltheart_higher_freq_cum_freq_normalized		dlexDB
tq_1_option1	Option 1 for text question 1.
document_frequency_normalized		dlexDB
annotated_type_frequency_normalized	The number of occurrences of an annotated type in corpus. An annotated type is a unique combination of a type, its part-of-speech tag and its lemma.	dlexDB
acc_bq_1	The accuracy of background question 1. The answer can be either true or false, so the value is either 0 or 1.		For participant 1 (p0), 31 (p0, b1, b5), 32 (p0), 61 (p1), 62 (b0, b1, b3, b5, 04) and 90 (b3) the accuracies for certain trials are missing due to hardware problems (missing measurements).
text	The stimulus text.
RR	Re-reading: 1 if the word was fixated after the first-pass reading, otherwise 0 (sign(RRT)).
bq_3_option3	Option 3 for background question 3.
FPReg	First-pass regression: 1 if a regression was initiated in the first-pass reading of the word, otherwise 0 (sign(RPD exc)).
type_length_chars	The length of the type of a word in characters. See the description of word_length for a definition of how characters are counted.
trial	Each participant reads all 12 texts, the order of which follows their trial number. If text b0 has trial number 2 for participant 5, this participant read text b0 as the second text.
reader_domain	The area of expertise of the reader. All readers are students whose major is either physics or biology.
neighbors_levenshtein_higher_freq_cum_freq_normalized		dlexDB
bq_2_option3	Option 3 for background question 2.
TFT	Total-fixation time: sum of all fixations on a word (FPRT+RRT).
PoS_tag	Part-of-speech tag as defined by the dlexDB query.	dlexDB
TRC_in	Total count of incoming regressions: total number of regressive saccades landing on this word.
sent_index_in_text	The index of a sentence in the respective text. Indexing starts at 1.
headline	The header of the respective stimulus text.
SL_in	Incoming saccade length: length of the saccade that leads to first fixation on a word in number of words; positive sign if the saccade is a progressive one, negative sign if it is a regression.
tq_3_option2	Option 2 for text question 3.
FRT	First-reading time: sum of the duration of all fixations from first fixating the word (independent if the first fixation occurs in first-pass reading) until leaving the word for the first time (equals FPRT in case the word was fixated in the first-pass).
tq_1_option4	Option 4 for text question 1.
text_domain	The domain of the stimulus text.
version	Specifies the version of the items. In each version, the order of the stimuli and the order of the answer options for each question differ. The specifics of each version can be found in the items.tsv.
expert_status_numeric	Numerical value of expert_status; 0=beginner, 1=expert.
neighbors_levenshtein_higher_freq_count_normalized		dlexDB
is_in_parentheses	Whether or not the word is part of a phrase in parentheses.	Manually tagged
acc_bq_2	The accuracy of background question 2. The answer can be either true or false, so the value is either 0 or 1.		For participant 1 (p0), 31 (p0, b1, b5), 32 (p0), 61 (p1), 62 (b0, b1, b3, b5, 04) and 90 (b3) the accuracies for certain trials are missing due to hardware problems (missing measurements).
type	The orthographical representation of a word as found in the corpus; this data is case sensitive, i.e. there is a distinction between name and Name.	dlexDB
aoi	The region of interest specified as character index in the text (see char_index_in_text). Defines which character has been fixated.
lemma_frequency_normalized		dlexDB
neighbors_levenshtein_all_cum_freq_normalized		dlexDB
sentence_frequency_normalized		dlexDB
bq_1_option3	Option 3 for background question 1.
reader_id	The unique identifier given to each reader. Reader IDs start at 0.
correct_ans_tq_3	"The index of the correct answer for text question 3. Specified as option number of the questions in that file. For example: 2 means that the answer that is specified in the column ""tq_3_option2"" is the correct answer to this question."
is_sent_beginning	Whether or not the word is the beginning of a new sentence.	Manually tagged
char_index_in_text	Index of a character in the text. Indexing starts at 1.
lemma_length_chars		dlexDB
tq_1_option2	Option 2 for text question 1.
word_index_in_sent	The index of the word in the sentence. Indexing starts at 1.
word	Words as they appear in the stimuli texts. Words are split at white-space.
bq_3_option4	Option 4 for background question 3.
RPD_exc	Exclusive regression-path duration: Sum of all fixation durations after initiating a first-pass regression from a word until fixating a word to the right of this word, without counting fixations on the word itself (RPD_inc-RBRT).
tq_2_option2	Option 2 for text question 2.
tq_2_option1	Option 1 for text question 2.
start_y	The y-coordinate in pixels of the top left corner of the aoi rectangle.
STTS_PoS_tag	Part-of-speech tags according to the STTS-tagset. See stimuli/ANNOTATION.MD for more information. 	Manually tagged
word_length	Word length is defined in number of characters including symbols like hyphens but without sentence punctuation at the end (i.e., z.B. = 4 characters; DNA-Kette =9 characters; eats.=4 characters).
initial_trigram_frequency_normalized		dlexDB
