Column name,Possible values,Missing value,Description,Source
word_index_in_text,int64,,,
word,object,,,
STTS_PoS_tag,object,,,
is_technical_term,int64,,,
is_abbreviation,int64,,,
word_index_in_sent,int64,,,
sent_index_in_text,int64,,,
word_length,int64,,,
STTS_punctuation_before,object,,,
STTS_punctuation_after,object,,,
word_limit_char_indices,object,,,
text_id,object,,,
is_in_quote,int64,,,
is_in_parentheses,int64,,,
contains_symbol,int64,,,
contains_hyphen,int64,,,
is_clause_beginning,int64,,,
is_sent_beginning,int64,,,
contains_abbreviation,int64,,,
PRELS,int64,,,
PRELAT,int64,,,
PPOSAT,int64,,,
PPER,int64,,,
PPOSS,int64,,,
PIDAT,int64,,,
PIAT,int64,,,
PIS,int64,,,
PDAT,int64,,,
PDS,int64,,,
NN,int64,,,
NE,int64,,,
KOKOM,int64,,,
KON,int64,,,
KOUS,int64,,,
KOUI,int64,,,
ITJ,int64,,,
FM,int64,,,
CARD,int64,,,
ART,int64,,,
APZR,int64,,,
APPO,int64,,,
APPRART,int64,,,
APPR,int64,,,
ADV,int64,,,
ADJD,int64,,,
ADJA,int64,,,
XY,int64,,,
VMPP,int64,,,
VMINF,int64,,,
VMFIN,int64,,,
VAPP,int64,,,
VAFIN,int64,,,
VVPP,int64,,,
VVIZU,int64,,,
VVINF,int64,,,
VVIMP,int64,,,
VVFIN,int64,,,
TRUNC,int64,,,
PTKA,int64,,,
PTKANT,int64,,,
PTKVZ,int64,,,
PTKNEG,int64,,,
PTKZU,int64,,,
PAV,int64,,,
PWAV,int64,,,
PWAT,int64,,,
PWS,int64,,,
PRF,int64,,,
