Column name	Possible values	Missing value	Description	Source
fixation_index	Interval: 1-1469	Number of missing values: 0		
text_domain	{'physics', 'bio'}	Number of missing values: 0		
trial	Interval: 1-12	Number of missing values: 0		
acc_bq_1	min: 0, max: 1, mean: 0.3869028058248774, std: 0.4870417022436458	Number of missing values: 5785		
acc_bq_2	min: 0, max: 1, mean: 0.35635355651159584, std: 0.4789219922412217	Number of missing values: 5785		
acc_bq_3	min: 0, max: 1, mean: 0.4216814880780664, std: 0.49382873796995946	Number of missing values: 5785		
acc_tq_1	min: 0, max: 1, mean: 0.662498275364682, std: 0.4728581937587188	Number of missing values: 5785		
acc_tq_2	min: 0, max: 1, mean: 0.6326188116949089, std: 0.48209214244403137	Number of missing values: 5785		
acc_tq_3	min: 0, max: 1, mean: 0.6563598279127523, std: 0.4749233306822801	Number of missing values: 5785		
fixation_duration	Interval: 2-4474	Number of missing values: 0		
next_saccade_duration	min: 1, max: 9491, mean: 41.056784066235714, std: 52.18004573131458	Number of missing values: 46		
previous_saccade_duration	min: nan, max: nan, mean: 40.452348943439674, std: 49.60583784942168	Number of missing values: 515		
version	Interval: 0-105	Number of missing values: 0		
line	Interval: 1-12	Number of missing values: 0		
roi	Interval: 1-1121	Number of missing values: 0		
char_index_in_line	Interval: 1-100	Number of missing values: 0		
original_fixation_index	Interval: 1-1478	Number of missing values: 0		
is_fixation_adjusted	True/False	Number of missing values: 0		
reader_id	Interval: 0-105	Number of missing values: 0		
text_id	{'p2', 'b5', 'b1', 'b3', 'p5', 'p3', 'b0', 'p0', 'p1', 'b4', 'b2', 'p4'}	Number of missing values: 0		
