Column name,Possible values,Missing value,Description,Source
word_index_in_text,int64,,,
word,object,,,
is_technical_term,int64,,,
is_abbreviation,int64,,,
word_index_in_sent,int64,,,
sent_index_in_text,int64,,,
word_length,int64,,,
is_in_quote,int64,,,
is_in_parentheses,int64,,,
contains_symbol,int64,,,
contains_hyphen,int64,,,
is_clause_beginning,int64,,,
is_sent_beginning,int64,,,
contains_abbreviation,int64,,,
PRELS,int64,,,
PRELAT,int64,,,
PPOSAT,int64,,,
PPER,int64,,,
PPOSS,int64,,,
PIDAT,int64,,,
PIAT,int64,,,
PIS,int64,,,
PDAT,int64,,,
PDS,int64,,,
NN,int64,,,
NE,int64,,,
KOKOM,int64,,,
KON,int64,,,
KOUS,int64,,,
KOUI,int64,,,
ITJ,int64,,,
FM,int64,,,
CARD,int64,,,
ART,int64,,,
APZR,int64,,,
APPO,int64,,,
APPRART,int64,,,
APPR,int64,,,
ADV,int64,,,
ADJD,int64,,,
ADJA,int64,,,
XY,int64,,,
VMPP,int64,,,
VMINF,int64,,,
VMFIN,int64,,,
VAPP,int64,,,
VAFIN,int64,,,
VVPP,int64,,,
VVIZU,int64,,,
VVINF,int64,,,
VVIMP,int64,,,
VVFIN,int64,,,
TRUNC,int64,,,
PTKA,int64,,,
PTKANT,int64,,,
PTKVZ,int64,,,
PTKNEG,int64,,,
PTKZU,int64,,,
PAV,int64,,,
PWAV,int64,,,
PWAT,int64,,,
PWS,int64,,,
PRF,int64,,,
type,object,,,
lemma,object,,,
lemma_length_chars,object,,,
type_length_syllables,float64,,,
annotated_type_frequency_normalized,float64,,,
type_frequency_normalized,float64,,,
lemma_frequency_normalized,float64,,,
familiarity_normalized,float64,,,
regularity_normalized,float64,,,
document_frequency_normalized,float64,,,
sentence_frequency_normalized,float64,,,
cumulative_syllable_corpus_frequency_normalized,float64,,,
cumulative_syllable_lexicon_frequency_normalized,float64,,,
cumulative_character_corpus_frequency_normalized,float64,,,
cumulative_character_lexicon_frequency_normalized,float64,,,
cumulative_character_bigram_corpus_frequency_normalized,float64,,,
cumulative_character_bigram_lexicon_frequency_normalized,float64,,,
cumulative_character_trigram_corpus_frequency_normalized,float64,,,
cumulative_character_trigram_lexicon_frequency_normalized,float64,,,
initial_letter_frequency_normalized,float64,,,
initial_bigram_frequency_normalized,float64,,,
initial_trigram_frequency_normalized,float64,,,
avg_cond_prob_in_bigrams,float64,,,
avg_cond_prob_in_trigrams,float64,,,
neighbors_coltheart_higher_freq_cum_freq_normalized,float64,,,
neighbors_coltheart_higher_freq_count_normalized,float64,,,
neighbors_coltheart_all_cum_freq_normalized,float64,,,
neighbors_coltheart_all_count_normalized,float64,,,
neighbors_levenshtein_higher_freq_cum_freq_normalized,float64,,,
neighbors_levenshtein_higher_freq_count_normalized,float64,,,
neighbors_levenshtein_all_cum_freq_normalized,float64,,,
neighbors_levenshtein_all_count_normalized,float64,,,
FFD,int64,,,
SFD,int64,,,
FD,int64,,,
FPRT,int64,,,
FRT,int64,,,
TFT,int64,,,
RRT,int64,,,
RPD_inc,int64,,,
RPD_exc,int64,,,
RBRT,int64,,,
Fix,int64,,,
FPF,int64,,,
RR,int64,,,
FPReg,int64,,,
TRC_out,int64,,,
TRC_in,int64,,,
LP,int64,,,
SL_in,int64,,,
SL_out,int64,,,
acc_bq_1,float64,,,
acc_bq_2,float64,,,
acc_bq_3,float64,,,
acc_tq_1,float64,,,
acc_tq_2,float64,,,
acc_tq_3,float64,,,
mean_acc_tq,float64,,,
mean_acc_bq,float64,,,
topic,int64,,,
trial,int64,,,
text_id,object,,,
reader,int64,,,
gender,int64,,,
major,int64,,,
age,float64,,,
expert_status,int64,,,
domain_expert_status,int64,,,
