Column name,Possible values,Missing value,Description,Source
word_index_in_sent,int64,,,
sent_index_in_text,int64,,,
FFD,int64,,,
SFD,int64,,,
FD,int64,,,
FPRT,int64,,,
FRT,int64,,,
TFT,int64,,,
RRT,int64,,,
RPD_inc,int64,,,
RPD_exc,int64,,,
RBRT,int64,,,
Fix,int64,,,
FPF,int64,,,
RR,int64,,,
FPReg,int64,,,
TRC_out,int64,,,
TRC_in,int64,,,
LP,int64,,,
SL_in,int64,,,
SL_out,int64,,,
acc_bq_1,float64,,,
acc_bq_2,float64,,,
acc_bq_3,float64,,,
acc_tq_1,float64,,,
acc_tq_2,float64,,,
acc_tq_3,float64,,,
topic,int64,,,
trial,int64,,,
text_id,object,,,
reader,int64,,,
gender,int64,,,
major,int64,,,
expert_status,int64,,,
age,float64,,,
mean_acc_bq,float64,,,
mean_acc_tq,float64,,,
domain_expert_status,int64,,,
