Column name	Possible values	Value type	Description	Num missing values	Missing value description	Source
word		string	Words as they appear in the stimuli texts. Words are split at white-space.	0		
word_index_in_text	1-180	Integer	The index of the word in the text. Indexing starts at 1.	0		
word_index_in_sent	1-51	Integer	The index of the word in the sentence. Indexing starts at 1.	0		
sent_index_in_text	1-12	Integer	The index of a sentence in the respective text. Indexing starts at 1.	0		
word_length	2-33	Integer	Word length is defined in number of characters including symbols like hyphens but without sentence punctuation at the end (i.e., z.B. = 4 characters; DNA-Kette =9 characters; eats.=4 characters	0		
STTS_punctuation_before	0.0: 70800, 0: 70425, $(: 900	Categorical	If a word is preceded by a punctuation mark, the STTS-PoS-tag of the punctuation mark is added here.	0		
STTS_punctuation_after	0: 126675, $.: 7575, $,: 6975, $(: 750, $($,: 150	Categorical	If a word is followed by a punctuation mark, the STTS-PoS-tag of the punctuation mark is added here.	0		
is_in_quote	0: 141075, 1: 1050	Categorical	Whether or not the word is part of an expression in quotes.	0		Manually tagged
is_in_parentheses	0: 141750, 1: 375	Categorical	Whether or not the word is part of a phrase in parentheses.	0		Manually tagged
is_clause_beginning	0: 134700, 1: 7425	Categorical	Whether or not the word is the beginning of a clause. 	0		Manually tagged
is_sent_beginning	0: 134850, 1: 7275	Categorical	Whether or not the word is the beginning of a new sentence.	0		Manually tagged
is_abbreviation	0: 141750, 1: 375	Categorical	Whether or not the entire word is an abbreviation.	0		Manually tagged
is_expert_technical_term			"1 if the word is a technical term that is not generally understandable. E.g.: ""Agarose""  "	0		Manually tagged
is_general_technical_term			"1 if the word is a technical term that is generally understandable. E.g.: ""elektrisch"""	0		
contains_symbol	0: 141525, 1: 600	Categorical	Whether or not the word contains a symbol. E.g.: β-D-Glucose	0		
contains_hyphen	0: 139950, 1: 2175	Categorical	Whether or not the word contains a hpythen. E.g.: 1 for DNA-Fragment. (*nicht* Wörter, die Tag TRUNC (Kompositions-ERstglieg) haben)	0		
contains_abbreviation	0: 141225, 1: 900	Categorical	Whether or not the word contains an abbreviation. 0 for words that are only an abbreviation. See is_abbreviation. E.g.: 1 for DNA-Fragment, 0 for DNA	0		
STTS_PoS_tag	NN: 38625, ART: 20700, APPR: 13800, ADJA: 11550, VVFIN: 7650, ADV: 5475, VAFIN: 5475, KON: 4950, ADJD: 3975, APPRART: 3600, VVPP: 2850, VVINF: 2475, PRELS: 2175, PPER: 1875, VMFIN: 1875, PRF: 1875, PAV: 1350, KOKOM: 1275, KOUS: 1200, PDAT: 1200, PTKVZ: 975, PIS: 750, PTKZU: 750, PIDAT: 675, CARD: 675, VAINF: 600, PDS: 525, PPOSAT: 525, PRELAT: 450, KOUI: 450, TRUNC: 375, PIAT: 375, PTKNEG: 300, NE: 300, VVIZU: 150, APZR: 75, PTKA: 75, VMINF: 75, PWAV: 75	Categorical	Part-of-speech tags according to the STTS-tagset. See stimuli/ANNOTATION.MD for more information. 	0		Manually tagged
type		string	"""The orthographical representation of a word as found in the corpus; this data is case sensitive, i.e. there is a distinction between name and Name."""	0		dlexDB
type_length_chars	0.0-33.0	Integer	The length of the type of a word in characters. See the description of word length for a definition of how characters are counted.	0		
PoS_tag	nn: 38100, art: 21000, appr: 13650, adja: 12150, vvfin: 7725, adv: 6825, vafin: 5475, kon: 4725, adjd: 4050, apprart: 3600, vvpp: 2850, vvinf: 2475, prf: 1875, prels: 1800, vmfin: 1800, pper: 1800, kokom: 1275, kous: 1200, pdat: 1200, ptkvz: 1125, pis: 1050, ptkzu: 750, card: 675, vainf: 600, pds: 525, pposat: 525, ne: 525, prelat: 450, trunc: 375, koui: 375, xy: 375, piat: 375, ptkneg: 300, vvizu: 150, pidat: 150, ptka: 75, vminf: 75, pwav: 75	Categorical	Part-of-speech tag as defined by the dlexDB query.	0		dlexDB
lemma		string		0		dlexDB
lemma_length_chars	0.0-32.0	Integer		0		dlexDB
syllables		string		0		dlexDB
type_length_syllables	0.0-14.0	Integer		0		dlexDB
annotated_type_frequency_normalized	min: 0.0, max: 24738.5901996, mean: 3629.1612, std: 6797.6492	Float	"""The number of occurrences of an annotated type in corpus. An annotated type is a unique combination of a type, its part-of-speech tag and its lemma."""	0		dlexDB
type_frequency_normalized	min: 0.0, max: 26530.3631386, mean: 4141.6498, std: 7546.5578	Float		0		dlexDB
lemma_frequency_normalized	min: 0.0, max: 80100.3069113, mean: 12271.0154, std: 24660.3797	Float		0		dlexDB
familiarity_normalized	min: 0.0, max: 26530.3631386, mean: 3822.4994, std: 7457.3314	Float		0		dlexDB
regularity_normalized	min: 0.0, max: 2123.30585022, mean: 35.3095, std: 119.8288	Float		0		dlexDB
document_frequency_normalized	min: 0.0, max: 9372.80956103, mean: 2885.4746, std: 3353.4877	Float		0		dlexDB
sentence_frequency_normalized	min: 0.0, max: 30912.3596552, mean: 5745.1861, std: 9454.5921	Float		0		dlexDB
cumulative_syllable_corpus_frequency_normalized	min: 0.0, max: 125126.524676, mean: 15795.556, std: 15820.9152	Float		0		dlexDB
cumulative_syllable_lexicon_frequency_normalized	min: 0.0, max: 218985.607753, mean: 21763.0396, std: 31363.3366	Float		0		dlexDB
cumulative_character_corpus_frequency_normalized	min: 0.0, max: 7810554.20193, mean: 1800394.2485, std: 1298158.5605	Float		0		dlexDB
cumulative_character_lexicon_frequency_normalized	min: 0.0, max: 18380479.713, mean: 4004667.3367, std: 2909455.8454	Float		0		dlexDB
cumulative_character_bigram_corpus_frequency_normalized	min: 0.0, max: 1322150.62097, mean: 341028.5141, std: 227677.2532	Float		0		dlexDB
cumulative_character_bigram_lexicon_frequency_normalized	min: 0.0, max: 2788357.77704, mean: 554080.6642, std: 451286.9101	Float		0		dlexDB
cumulative_character_trigram_corpus_frequency_normalized	min: 0.0, max: 603427.130456, mean: 213996.2534, std: 130950.6249	Float		0		dlexDB
cumulative_character_trigram_lexicon_frequency_normalized	min: 0.0, max: 899592.89035, mean: 223247.7744, std: 175811.3775	Float		0		dlexDB
initial_letter_frequency_normalized	min: 0.0, max: 110461.430317, mean: 36031.6466, std: 33586.1123	Float		0		dlexDB
initial_bigram_frequency_normalized	min: 0.0, max: 53801.2331077, mean: 11986.4422, std: 14536.7787	Float		0		dlexDB
initial_trigram_frequency_normalized	min: -0.00817507899599, max: 29048.3692201, mean: 5528.0412, std: 8782.9659	Float		0		dlexDB
avg_cond_prob_in_bigrams	min: 0.0, max: 0.5006180465, mean: 0.0423, std: 0.0447	Float	"""The conditional probability of the bigram, given the occurrence of its first component. In other words, how likely it is for the second component to follow directly after the first. Here, this measure is computed on the basis of the annotated type information."""	0		dlexDB
avg_cond_prob_in_trigrams	min: 0.0, max: 25.0, mean: 0.2371, std: 0.5852	Float	"""The conditional probability of the trigram, given the occurrence of its initial bigram. In other words, how likely it is for the third component to follow directly after the initial pair. Here, this measure is computed on the basis of the annotated type information."""	0		dlexDB
neighbors_coltheart_higher_freq_cum_freq_normalized	min: 0.0, max: 44055.247282, mean: 2111.0615, std: 7323.9586	Float		0		dlexDB
neighbors_coltheart_higher_freq_count_normalized	min: 0.0, max: 8.13363128109, mean: 0.195, std: 0.4875	Float		0		dlexDB
neighbors_coltheart_all_cum_freq_normalized	min: 0.0, max: 49782.1108458, mean: 4765.8454, std: 9884.7277	Float		0		dlexDB
neighbors_coltheart_all_count_normalized	min: 0.0, max: 47.5175301158, mean: 14.8301, std: 14.4676	Float		0		dlexDB
neighbors_levenshtein_higher_freq_cum_freq_normalized	min: 0.0, max: 44055.247282, mean: 2703.1737, std: 7703.635	Float		0		dlexDB
neighbors_levenshtein_higher_freq_count_normalized	min: 0.0, max: 11.9864039932, mean: 0.3077, std: 0.6418	Float		0		dlexDB
neighbors_levenshtein_all_cum_freq_normalized	min: 0.0, max: 54875.2749862, mean: 6310.865, std: 11349.5391	Float		0		dlexDB
neighbors_levenshtein_all_count_normalized	min: 0.0, max: 75.7711966712, mean: 23.1334, std: 22.6083	Float		0		dlexDB
FFD	min: 0, max: 2144, mean: 166.4349, std: 132.8385	Float	First-fixation duration: duration of the first fixation on a word if this word is fixated in first-pass reading, otherwise 0	0		
SFD	min: 0, max: 2144, mean: 118.8476, std: 135.5746	Float	Single-fixation duration: duration of the only first-pass fixation on a word, 0 if the word was skipped or more than one fixations occurred in the first-pass (equals FFD in case of a single first-pass fixation)	0		
FD	min: 0, max: 2144, mean: 203.521, std: 116.9325	Float	First duration: duration of the first fixation on a word (identical to FFD if not skipped in the first-pass)	0		
FPRT	min: 0, max: 9649, mean: 247.1802, std: 298.7059	Float	First-pass reading time: sum of the durations of all first-pass fixations on a word (0 if the word was skipped in the first-pass)	0		
FRT	min: 0, max: 9649, mean: 291.8371, std: 288.6539	Float	First-reading time: sum of the duration of all fixations from first fixating the word (independent if the first fixations occurs in first-pass reading) until leaving the word for the first time (equals FPRT in case the word was fixated in the first-pass)	0		
TFT	min: 0, max: 25314, mean: 632.8105, std: 720.3906	Float	Total-fixation time: sum of all fixations on a word (FPRT+RRT)	0		
RRT	min: 0, max: 23902, mean: 385.6303, std: 597.4905	Float	Re-reading time: sum of the durations of all fixations on a word that do not belong to the first-pass (TFT-FPRT)	0		
RPD_inc	min: 0, max: 318898, mean: 632.8105, std: 3881.2194	Float	Inclusive regression-path duration: Sum of all fixation durations starting from the first first-pass fixation on a word until fixation a word to the right of this word (including all regressive fixations on previous words), 0 if the word was not fixated in the first-pass (RPD_exc+RBRT)	0		
RPD_exc	min: 0, max: 315640, mean: 342.2702, std: 3815.0289	Float	Exclusive regression-path duration: Sum of all fixation durations after initiating a first-pass regression from a word until fixating a word to the right of this word, without counting fixations on the word itself (RPD_inc-RBRT)	0		
RBRT	min: 0, max: 10675, mean: 290.5404, std: 358.8669	Float	Right-bounded reading time: Sum of all fixation durations on a word until a word to the right of this word is fixated (RPD_inc-RDP_exc)	0		
Fix	1: 127943, 0: 14182	Categorical	Fixation: 1 if the word was fixated, otherwise 0 (FPF or RR)	0		
FPF	1: 103728, 0: 38397	Categorical	First-pass fixation: 1 if the word was fixated in the first-pass, otherwise 0	0		
RR	1: 93841, 0: 48284	Categorical	Re-reading: 1 if the word was fixated after the first-pass reading, otherwise 0 (sign(RRT))	0		
FPReg	0: 119060, 1: 23065	Categorical	First-pass regression: 1 if a regression was initiated in the first-pass reading of the word, otherwise 0 (sign(RPD exc))	0		
TRC_out	0-15	Integer	Total count of incoming regressions: total number of regressive saccades initiated from this word	0		
TRC_in	0-12	Integer	Total count of outgoing regressions: total number of regressive saccades landing on this word	0		
LP	0-28	Integer	Landing position: position of the first saccade on the word expressed by ordinal position of the fixated character	0		
SL_in	-162-156	Integer	Incoming saccade length: length of the saccade that leads to first fixation on a word in number of words; positive sign if the saccade is a progressive one, negative sign if it is a regression	0		
SL_out	-179-63	Integer	Outgoing saccade length: length of the first saccade that leaves the word in number of words; positive sign if the saccade is a progressive one, negative sign if it is a regression; 0 if the word is never fixated	0		
acc_bq_1	min: 0.0, max: 1.0, mean: 0.3922, std: 0.4883	Float	The accuracy of background question 1. The answer can be either true or false, so the value is either 0 or 1.	1958		
acc_bq_2	min: 0.0, max: 1.0, mean: 0.3619, std: 0.4805	Float	The accuracy of background question 2. The answer can be either true or false, so the value is either 0 or 1.	1958		
acc_bq_3	min: 0.0, max: 1.0, mean: 0.4277, std: 0.4947	Float	The accuracy of background question 3. The answer can be either true or false, so the value is either 0 or 1.	1958		
acc_tq_1	min: 0.0, max: 1.0, mean: 0.6469, std: 0.4779	Float	The accuracy of text question 1. The answer can be either true or false, so the value is either 0 or 1.	1958		
acc_tq_2	min: 0.0, max: 1.0, mean: 0.6428, std: 0.4792	Float	The accuracy of text question 2. The answer can be either true or false, so the value is either 0 or 1.	1958		
acc_tq_3	min: 0.0, max: 1.0, mean: 0.6563, std: 0.4749	Float	The accuracy of text question 3. The answer can be either true or false, so the value is either 0 or 1.	1958		
mean_acc_tq	min: 0.0, max: 1.0, mean: 0.3939, std: 0.3158	Float	The mean accuracy of all background questions for one text read by one reader.	1958		
