Column name	Possible values	Value type	Description	Num missing values	Missing value description	Source
fixation_index	1-1469	Integer	The index of the fixation in temporal order.	0		
text_domain	bio: 204695, physics: 199720	Categorical	The domain of the stimulus text.	0		
trial	1-12	Integer	Each participant reads all 12 texts, the order of which follows their trial number. If text b0 has trial number 2 for participant 5, this participant read text b0 as the second text.	0		
acc_bq_1	min: 0.0, max: 1.0, mean: 0.3869, std: 0.487	Float	The accuracy of background question 1. The answer can be either true or false, so the value is either 0 or 1.	5785		
acc_bq_2	min: 0.0, max: 1.0, mean: 0.3563, std: 0.4789	Float	The accuracy of background question 2. The answer can be either true or false, so the value is either 0 or 1.	5785		
acc_bq_3	min: 0.0, max: 1.0, mean: 0.4217, std: 0.4938	Float	The accuracy of background question 3. The answer can be either true or false, so the value is either 0 or 1.	5785		
acc_tq_1	min: 0.0, max: 1.0, mean: 0.6625, std: 0.4729	Float	The accuracy of text question 1. The answer can be either true or false, so the value is either 0 or 1.	5785		
acc_tq_2	min: 0.0, max: 1.0, mean: 0.6326, std: 0.4821	Float	The accuracy of text question 2. The answer can be either true or false, so the value is either 0 or 1.	5785		
acc_tq_3	min: 0.0, max: 1.0, mean: 0.6564, std: 0.4749	Float	The accuracy of text question 3. The answer can be either true or false, so the value is either 0 or 1.	5785		
fixation_duration	2-4474	Integer	The duration of the fixation in milliseconds.	0		
next_saccade_duration	1.0-9491.0	Integer	The duration in milliseconds of the saccade that follows a fixation.	46		
previous_saccade_duration	1.0-9491.0	Integer	The duration of a saccade in milliseconds that preceeds a fixation.	515		
version	0-105	Integer	Specifies the version of the items. In each version, the order of the stimuli and the order of the answer options for each question differs. The specifics of each version can be found in the items.tsv.	0		
line	1-12	Integer	The texts were presented on the screen in multiple lines. Specifies the line of the respective row; indexing starts at 1.	0		
roi	1-1121	Integer	The region of interest specified as character index in the text (see char_index_in_text). Defines which character has been fixated.	0		
char_index_in_line	1-100	Integer	Index of a character in the line. Indexing starts at 1.	0		
original_fixation_index	1-1478	Integer	The index of the uncorrected fixation.	0		
is_fixation_adjusted	False: 382202, True: 22213	Categorical	Whether or not the fixation has been adjusted manually.	0		Manually tagged
reader_id	0-105	Integer	The unique identifier given to each reader. Reader IDs start at 0.	0		
text_id	b0, b1, b2, b3, b4, b5, p0, p1, p2, p3, p4, p5		Unique identifier given to each stimulus text.	0		
word_index_in_text	1.0-180.0	Integer	The index of the word in the text. Indexing starts at 1.	0		
sent_index_in_text	1.0-12.0	Integer	The index of a sentence in the respective text. Indexing starts at 1.	0		
char_index_in_text	1-1121	Integer	Index of a character in the text. Indexing starts at 1.	0		
word		string	Words as they appear in the stimuli texts. Words are split at white-space.	0		
character		string	Character as text.	0		
word_index_in_sent	1-51	Integer	The index of the word in the sentence. Indexing starts at 1.	0		
word_length	2-33	Integer	Word length is defined in number of characters including symbols like hyphens but without sentence punctuation at the end (i.e., z.B. = 4 characters; DNA-Kette =9 characters; eats.=4 characters	0		
STTS_punctuation_before	0.0: 211105, 0: 189405, $(: 3905	Categorical	If a word is preceded by a punctuation mark, the STTS-PoS-tag of the punctuation mark is added here.	0		
STTS_punctuation_after	0: 352234, $.: 25789, $,: 22559, $(: 3260, $($,: 573	Categorical	If a word is followed by a punctuation mark, the STTS-PoS-tag of the punctuation mark is added here.	0		
is_in_quote	0: 399710, 1: 4705	Categorical	Whether or not the word is part of an expression in quotes.	0		Manually tagged
is_in_parentheses	0: 403150, 1: 1265	Categorical	Whether or not the word is part of a phrase in parentheses.	0		Manually tagged
is_clause_beginning	0: 388227, 1: 16188	Categorical	Whether or not the word is the beginning of a clause. 	0		Manually tagged
is_sent_beginning	0: 386676, 1: 17739	Categorical	Whether or not the word is the beginning of a new sentence.	0		Manually tagged
is_abbreviation	0: 403473, 1: 942	Categorical	Whether or not the entire word is an abbreviation.	0		Manually tagged
is_expert_technical_term			"1 if the word is a technical term that is not generally understandable. E.g.: ""Agarose""  "	0		Manually tagged
is_general_technical_term			"1 if the word is a technical term that is generally understandable. E.g.: ""elektrisch"""	0		
contains_symbol	0: 400453, 1: 3962	Categorical	Whether or not the word contains a symbol. E.g.: β-D-Glucose	0		
contains_hyphen	0: 388144, 1: 16271	Categorical	Whether or not the word contains a hpythen. E.g.: 1 for DNA-Fragment. (*nicht* Wörter, die Tag TRUNC (Kompositions-ERstglieg) haben)	0		
contains_abbreviation	0: 399418, 1: 4997	Categorical	Whether or not the word contains an abbreviation. 0 for words that are only an abbreviation. See is_abbreviation. E.g.: 1 for DNA-Fragment, 0 for DNA	0		
STTS_PoS_tag	NN: 162980, ADJA: 51041, ART: 37340, VVFIN: 23853, APPR: 22470, ADJD: 12713, ADV: 12236, VAFIN: 10340, VVPP: 9317, VVINF: 7710, KON: 5798, APPRART: 5566, PRELS: 4193, VMFIN: 3953, PRF: 3606, PAV: 3444, PDAT: 3292, KOUS: 2521, PPER: 2511, KOKOM: 2428, PIDAT: 1653, CARD: 1594, PTKVZ: 1490, PDS: 1374, PPOSAT: 1360, PIS: 1322, PRELAT: 1302, VAINF: 1206, TRUNC: 1137, NE: 955, PIAT: 791, PTKNEG: 687, KOUI: 654, PTKZU: 583, VVIZU: 578, VMINF: 153, PTKA: 97, APZR: 91, PWAV: 76	Categorical	Part-of-speech tags according to the STTS-tagset. See stimuli/ANNOTATION.MD for more information. 	0		Manually tagged
type		string	"""The orthographical representation of a word as found in the corpus; this data is case sensitive, i.e. there is a distinction between name and Name."""	0		dlexDB
type_length_chars	0.0-33.0	Integer	The length of the type of a word in characters. See the description of word length for a definition of how characters are counted.	0		
PoS_tag	nn: 160585, adja: 53330, art: 37918, vvfin: 23977, appr: 22193, adv: 15728, adjd: 12225, vafin: 10340, vvpp: 9317, vvinf: 7710, apprart: 5566, kon: 5405, prels: 4076, vmfin: 3829, prf: 3606, pdat: 3292, kous: 2521, pper: 2434, kokom: 2428, pis: 2063, ptkvz: 1891, card: 1594, ne: 1386, pds: 1374, pposat: 1360, prelat: 1302, vainf: 1206, trunc: 1137, piat: 791, xy: 746, ptkneg: 687, ptkzu: 583, vvizu: 578, koui: 559, pidat: 352, vminf: 153, ptka: 97, pwav: 76	Categorical	Part-of-speech tag as defined by the dlexDB query.	0		dlexDB
lemma		string		0		dlexDB
lemma_length_chars	0.0-32.0	Integer		0		dlexDB
syllables		string		0		dlexDB
type_length_syllables	0.0-14.0	Integer		0		dlexDB
annotated_type_frequency_normalized	min: 0.0, max: 24738.5901996, mean: 1950.9293, std: 5185.3283	Float	"""The number of occurrences of an annotated type in corpus. An annotated type is a unique combination of a type, its part-of-speech tag and its lemma."""	0		dlexDB
type_frequency_normalized	min: 0.0, max: 26530.3631386, mean: 2247.4796, std: 5847.2497	Float		0		dlexDB
lemma_frequency_normalized	min: 0.0, max: 80100.3069113, mean: 7203.3292, std: 19769.5491	Float		0		dlexDB
familiarity_normalized	min: 0.0, max: 26530.3631386, mean: 2191.7978, std: 5759.2919	Float		0		dlexDB
regularity_normalized	min: 0.0, max: 2123.30585022, mean: 46.86, std: 137.4876	Float		0		dlexDB
document_frequency_normalized	min: 0.0, max: 9372.80956103, mean: 1684.122, std: 2829.0755	Float		0		dlexDB
sentence_frequency_normalized	min: 0.0, max: 30912.3596552, mean: 3137.4919, std: 7374.8414	Float		0		dlexDB
cumulative_syllable_corpus_frequency_normalized	min: 0.0, max: 125126.524676, mean: 15768.6929, std: 17529.636	Float		0		dlexDB
cumulative_syllable_lexicon_frequency_normalized	min: 0.0, max: 218985.607753, mean: 27232.082, std: 36884.1186	Float		0		dlexDB
cumulative_character_corpus_frequency_normalized	min: 0.0, max: 7810554.20193, mean: 2053786.0731, std: 1596380.2448	Float		0		dlexDB
cumulative_character_lexicon_frequency_normalized	min: 0.0, max: 18380479.713, mean: 4612542.4048, std: 3597157.6472	Float		0		dlexDB
cumulative_character_bigram_corpus_frequency_normalized	min: 0.0, max: 1322150.62097, mean: 356826.5185, std: 269770.2664	Float		0		dlexDB
cumulative_character_bigram_lexicon_frequency_normalized	min: 0.0, max: 2788357.77704, mean: 629617.8522, std: 539086.9162	Float		0		dlexDB
cumulative_character_trigram_corpus_frequency_normalized	min: 0.0, max: 603427.130456, mean: 200339.5037, std: 144121.9775	Float		0		dlexDB
cumulative_character_trigram_lexicon_frequency_normalized	min: 0.0, max: 899592.89035, mean: 236419.8798, std: 199571.8634	Float		0		dlexDB
initial_letter_frequency_normalized	min: 0.0, max: 110461.430317, mean: 28044.9786, std: 30619.0888	Float		0		dlexDB
initial_bigram_frequency_normalized	min: 0.0, max: 53801.2331077, mean: 8706.0108, std: 12743.3346	Float		0		dlexDB
initial_trigram_frequency_normalized	min: -0.00817507899599, max: 29048.3692201, mean: 3754.6198, std: 7393.1614	Float		0		dlexDB
avg_cond_prob_in_bigrams	min: 0.0, max: 0.5006180465, mean: 0.0313, std: 0.0466	Float	"""The conditional probability of the bigram, given the occurrence of its first component. In other words, how likely it is for the second component to follow directly after the first. Here, this measure is computed on the basis of the annotated type information."""	0		dlexDB
avg_cond_prob_in_trigrams	min: 0.0, max: 25.0, mean: 0.2251, std: 0.8815	Float	"""The conditional probability of the trigram, given the occurrence of its initial bigram. In other words, how likely it is for the third component to follow directly after the initial pair. Here, this measure is computed on the basis of the annotated type information."""	0		dlexDB
neighbors_coltheart_higher_freq_cum_freq_normalized	min: 0.0, max: 44055.247282, mean: 1276.6588, std: 5775.4374	Float		0		dlexDB
neighbors_coltheart_higher_freq_count_normalized	min: 0.0, max: 8.13363128109, mean: 0.1556, std: 0.4321	Float		0		dlexDB
neighbors_coltheart_all_cum_freq_normalized	min: 0.0, max: 49782.1108458, mean: 2794.2125, std: 7982.6755	Float		0		dlexDB
neighbors_coltheart_all_count_normalized	min: 0.0, max: 47.5175301158, mean: 9.0449, std: 12.679	Float		0		dlexDB
neighbors_levenshtein_higher_freq_cum_freq_normalized	min: 0.0, max: 44055.247282, mean: 1683.6481, std: 6153.8856	Float		0		dlexDB
neighbors_levenshtein_higher_freq_count_normalized	min: 0.0, max: 11.9864039932, mean: 0.2681, std: 0.5814	Float		0		dlexDB
neighbors_levenshtein_all_cum_freq_normalized	min: 0.0, max: 54875.2749862, mean: 3761.5197, std: 9299.6128	Float		0		dlexDB
neighbors_levenshtein_all_count_normalized	min: 0.0, max: 75.7711966712, mean: 14.1418, std: 19.6384	Float		0		dlexDB
FFD	min: 0, max: 2144, mean: 195.9925, std: 124.55	Float	First-fixation duration: duration of the first fixation on a word if this word is fixated in first-pass reading, otherwise 0	0		
SFD	min: 0, max: 2144, mean: 107.9611, std: 134.4764	Float	Single-fixation duration: duration of the only first-pass fixation on a word, 0 if the word was skipped or more than one fixations occurred in the first-pass (equals FFD in case of a single first-pass fixation)	0		
FD	min: 0, max: 2144, mean: 226.9834, std: 103.791	Float	First duration: duration of the first fixation on a word (identical to FFD if not skipped in the first-pass)	0		
FPRT	min: 0, max: 9649, mean: 408.9756, std: 526.0646	Float	First-pass reading time: sum of the durations of all first-pass fixations on a word (0 if the word was skipped in the first-pass)	0		
FRT	min: 0, max: 9649, mean: 456.9095, std: 518.1681	Float	First-reading time: sum of the duration of all fixations from first fixating the word (independent if the first fixations occurs in first-pass reading) until leaving the word for the first time (equals FPRT in case the word was fixated in the first-pass)	0		
TFT	min: 0, max: 25314, mean: 1333.0028, std: 1428.4974	Float	Total-fixation time: sum of all fixations on a word (FPRT+RRT)	0		
RRT	min: 0, max: 23902, mean: 924.0273, std: 1240.0559	Float	Re-reading time: sum of the durations of all fixations on a word that do not belong to the first-pass (TFT-FPRT)	0		
RPD_inc	min: 0, max: 318898, mean: 1076.0233, std: 5326.2759	Float	Inclusive regression-path duration: Sum of all fixation durations starting from the first first-pass fixation on a word until fixation a word to the right of this word (including all regressive fixations on previous words), 0 if the word was not fixated in the first-pass (RPD_exc+RBRT)	0		
RPD_exc	min: 0, max: 315640, mean: 556.8072, std: 5195.8139	Float	Exclusive regression-path duration: Sum of all fixation durations after initiating a first-pass regression from a word until fixating a word to the right of this word, without counting fixations on the word itself (RPD_inc-RBRT)	0		
RBRT	min: 0, max: 10675, mean: 519.2161, std: 638.8622	Float	Right-bounded reading time: Sum of all fixation durations on a word until a word to the right of this word is fixated (RPD_inc-RDP_exc)	0		
Fix	1: 404305, 0: 110	Categorical	Fixation: 1 if the word was fixated, otherwise 0 (FPF or RR)	0		
FPF	1: 347610, 0: 56805	Categorical	First-pass fixation: 1 if the word was fixated in the first-pass, otherwise 0	0		
RR	1: 356174, 0: 48241	Categorical	Re-reading: 1 if the word was fixated after the first-pass reading, otherwise 0 (sign(RRT))	0		
FPReg	0: 308152, 1: 96263	Categorical	First-pass regression: 1 if a regression was initiated in the first-pass reading of the word, otherwise 0 (sign(RPD exc))	0		
TRC_out	0-15	Integer	Total count of incoming regressions: total number of regressive saccades initiated from this word	0		
TRC_in	0-12	Integer	Total count of outgoing regressions: total number of regressive saccades landing on this word	0		
LP	1-28	Integer	Landing position: position of the first saccade on the word expressed by ordinal position of the fixated character	0		
SL_in	-162-156	Integer	Incoming saccade length: length of the saccade that leads to first fixation on a word in number of words; positive sign if the saccade is a progressive one, negative sign if it is a regression	0		
SL_out	-179-63	Integer	Outgoing saccade length: length of the first saccade that leaves the word in number of words; positive sign if the saccade is a progressive one, negative sign if it is a regression; 0 if the word is never fixated	0		
mean_acc_tq	min: 0.0, max: 1.0, mean: 0.3883, std: 0.3144	Float	The mean accuracy of all background questions for one text read by one reader.	5785		
mean_acc_bq	min: 0.0, max: 1.0, mean: 0.6505, std: 0.3052	Float	The mean accuracy of all text questions for one text read by one reader.	5785		
text_domain_numeric	1: 204695, 0: 199720	Categorical	Numerical value of text_domain.	0		
gender_numeric	1.0: 212872, 0.0: 187533, nan: 4010	Categorical	Numerical value of gender.	4010		
reader_domain_numeric	0: 223154, 1: 181261	Categorical	Numerical encoding of the reader domain.	0		
age	min: 18.0, max: 41.0, mean: 24.0283, std: 4.1436	Float	Reader's age.	8459		
expert_status_numeric	1: 250082, 0: 154333	Categorical	Numerical value of expert_status	0		
domain_expert_status_numeric	1: 133829, 3: 116253, 0: 89325, 2: 65008	Categorical	Numerical value of domain_expert_status	0		
