Column name	Possible values	Missing value	Description	Source
version	Interval: 0-119	Number of missing values: 0		
text_id	{'p0', 'p4', 'b3', 'p5', 'p1', 'b5', 'p3', 'b4', 'b0', 'b2', 'b1', 'p2'}	Number of missing values: 0		
text_domain	{'bio', 'physics'}	Number of missing values: 0		
text	object	Number of missing values: 0		
headline	object	Number of missing values: 0		
tq_1	object	Number of missing values: 0		
tq_1_option1	object	Number of missing values: 0		
tq_1_option2	object	Number of missing values: 0		
tq_1_option3	object	Number of missing values: 0		
tq_1_option4	object	Number of missing values: 0		
tq_2	object	Number of missing values: 0		
tq_2_option1	object	Number of missing values: 0		
tq_2_option2	object	Number of missing values: 0		
tq_2_option3	object	Number of missing values: 0		
tq_2_option4	object	Number of missing values: 0		
tq_3	object	Number of missing values: 0		
tq_3_option1	object	Number of missing values: 0		
tq_3_option2	object	Number of missing values: 0		
tq_3_option3	object	Number of missing values: 0		
tq_3_option4	object	Number of missing values: 0		
bq_1	object	Number of missing values: 0		
bq_1_option1	object	Number of missing values: 0		
bq_1_option2	object	Number of missing values: 0		
bq_1_option3	object	Number of missing values: 0		
bq_1_option4	object	Number of missing values: 0		
bq_2	object	Number of missing values: 0		
bq_2_option1	object	Number of missing values: 0		
bq_2_option2	object	Number of missing values: 0		
bq_2_option3	object	Number of missing values: 0		
bq_2_option4	object	Number of missing values: 0		
bq_3	object	Number of missing values: 0		
bq_3_option1	object	Number of missing values: 0		
bq_3_option2	object	Number of missing values: 0		
bq_3_option3	object	Number of missing values: 0		
bq_3_option4	object	Number of missing values: 0		
order_bqs	{0}	Number of missing values: 0		
order_tqs	{0}	Number of missing values: 0		
order_bq_1_ans	object	Number of missing values: 0		
order_bq_2_ans	object	Number of missing values: 0		
order_bq_3_ans	object	Number of missing values: 0		
order_tq_1_ans	object	Number of missing values: 0		
order_tq_2_ans	object	Number of missing values: 0		
order_tq_3_ans	object	Number of missing values: 0		
correct_ans_tq_1	{3, 4, 5, 6}	Number of missing values: 0		
correct_ans_tq_2	{3, 4, 5, 6}	Number of missing values: 0		
correct_ans_tq_3	{3, 4, 5, 6}	Number of missing values: 0		
correct_ans_bq_1	{3, 4, 5, 6}	Number of missing values: 0		
correct_ans_bq_2	{3, 4, 5, 6}	Number of missing values: 0		
correct_ans_bq_3	{3, 4, 5, 6}	Number of missing values: 0		
trial	Interval: 1-12	Number of missing values: 0		
