Column name,Possible values,Missing value,Description,Source
text,object,,,
STTS-tag,object,,,
line_index,int64,,,
word,object,,,
type,object,,,
type_length_chars,float64,,,
PoS_tag,object,,,
lemma,object,,,
lemma_length_chars,float64,,,
syllables,object,,,
type_length_syllables,float64,,,
annotated_type_frequency_normalized,float64,,,
type_frequency_normalized,float64,,,
lemma_frequency_normalized,float64,,,
familiarity_normalized,float64,,,
regularity_normalized,float64,,,
document_frequency_normalized,float64,,,
sentence_frequency_normalized,float64,,,
cumulative_syllable_corpus_frequency_normalized,float64,,,
cumulative_syllable_lexicon_frequency_normalized,float64,,,
cumulative_character_corpus_frequency_normalized,float64,,,
cumulative_character_lexicon_frequency_normalized,float64,,,
cumulative_character_bigram_corpus_frequency_normalized,float64,,,
cumulative_character_bigram_lexicon_frequency_normalized,float64,,,
cumulative_character_trigram_corpus_frequency_normalized,float64,,,
cumulative_character_trigram_lexicon_frequency_normalized,float64,,,
initial_letter_frequency_normalized,float64,,,
initial_bigram_frequency_normalized,float64,,,
initial_trigram_frequency_normalized,float64,,,
avg_cond_prob_in_bigrams,float64,,,
avg_cond_prob_in_trigrams,float64,,,
neighbors_coltheart_higher_freq_cum_freq_normalized,float64,,,
neighbors_coltheart_higher_freq_count_normalized,float64,,,
neighbors_coltheart_all_cum_freq_normalized,float64,,,
neighbors_coltheart_all_count_normalized,float64,,,
neighbors_levenshtein_higher_freq_cum_freq_normalized,float64,,,
neighbors_levenshtein_higher_freq_count_normalized,float64,,,
neighbors_levenshtein_all_cum_freq_normalized,float64,,,
neighbors_levenshtein_all_count_normalized,float64,,,
