## stimuli/word_features/word_features_b0.csv
## delimiter = ('\t', 0)

| Column name                                               | Possible values   | Missing value   | Description   | Source   |
|:----------------------------------------------------------|:------------------|:----------------|:--------------|:---------|
| text                                                      | object            | <NA>            | <NA>          | <NA>     |
| STTS-tag                                                  | object            | <NA>            | <NA>          | <NA>     |
| line_index                                                | int64             | <NA>            | <NA>          | <NA>     |
| word                                                      | object            | <NA>            | <NA>          | <NA>     |
| type                                                      | object            | <NA>            | <NA>          | <NA>     |
| type_length_chars                                         | float64           | <NA>            | <NA>          | <NA>     |
| PoS_tag                                                   | object            | <NA>            | <NA>          | <NA>     |
| lemma                                                     | object            | <NA>            | <NA>          | <NA>     |
| lemma_length_chars                                        | float64           | <NA>            | <NA>          | <NA>     |
| syllables                                                 | object            | <NA>            | <NA>          | <NA>     |
| type_length_syllables                                     | float64           | <NA>            | <NA>          | <NA>     |
| annotated_type_frequency_normalized                       | float64           | <NA>            | <NA>          | <NA>     |
| type_frequency_normalized                                 | float64           | <NA>            | <NA>          | <NA>     |
| lemma_frequency_normalized                                | float64           | <NA>            | <NA>          | <NA>     |
| familiarity_normalized                                    | float64           | <NA>            | <NA>          | <NA>     |
| regularity_normalized                                     | float64           | <NA>            | <NA>          | <NA>     |
| document_frequency_normalized                             | float64           | <NA>            | <NA>          | <NA>     |
| sentence_frequency_normalized                             | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_syllable_corpus_frequency_normalized           | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_syllable_lexicon_frequency_normalized          | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_corpus_frequency_normalized          | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_lexicon_frequency_normalized         | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_bigram_corpus_frequency_normalized   | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_bigram_lexicon_frequency_normalized  | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_trigram_corpus_frequency_normalized  | float64           | <NA>            | <NA>          | <NA>     |
| cumulative_character_trigram_lexicon_frequency_normalized | float64           | <NA>            | <NA>          | <NA>     |
| initial_letter_frequency_normalized                       | float64           | <NA>            | <NA>          | <NA>     |
| initial_bigram_frequency_normalized                       | float64           | <NA>            | <NA>          | <NA>     |
| initial_trigram_frequency_normalized                      | float64           | <NA>            | <NA>          | <NA>     |
| avg_cond_prob_in_bigrams                                  | float64           | <NA>            | <NA>          | <NA>     |
| avg_cond_prob_in_trigrams                                 | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_coltheart_higher_freq_cum_freq_normalized       | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_coltheart_higher_freq_count_normalized          | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_coltheart_all_cum_freq_normalized               | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_coltheart_all_count_normalized                  | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_levenshtein_higher_freq_cum_freq_normalized     | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_levenshtein_higher_freq_count_normalized        | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_levenshtein_all_cum_freq_normalized             | float64           | <NA>            | <NA>          | <NA>     |
| neighbors_levenshtein_all_count_normalized                | float64           | <NA>            | <NA>          | <NA>     |


## stimuli/text_tags/b0.csv
## delimiter = ('\t', 0)

| Column name             | Possible values   | Missing value   | Description   | Source   |
|:------------------------|:------------------|:----------------|:--------------|:---------|
| word_index_in_text      | int64             | <NA>            | <NA>          | <NA>     |
| word                    | object            | <NA>            | <NA>          | <NA>     |
| STTS_PoS_tag            | object            | <NA>            | <NA>          | <NA>     |
| is_technical_term       | int64             | <NA>            | <NA>          | <NA>     |
| is_abbreviation         | int64             | <NA>            | <NA>          | <NA>     |
| word_index_in_sent      | int64             | <NA>            | <NA>          | <NA>     |
| sent_index_in_text      | int64             | <NA>            | <NA>          | <NA>     |
| word_length             | int64             | <NA>            | <NA>          | <NA>     |
| STTS_punctuation_before | object            | <NA>            | <NA>          | <NA>     |
| STTS_punctuation_after  | object            | <NA>            | <NA>          | <NA>     |
| word_limit_char_indices | object            | <NA>            | <NA>          | <NA>     |
| text_id                 | object            | <NA>            | <NA>          | <NA>     |
| is_in_quote             | int64             | <NA>            | <NA>          | <NA>     |
| is_in_parentheses       | int64             | <NA>            | <NA>          | <NA>     |
| contains_symbol         | int64             | <NA>            | <NA>          | <NA>     |
| contains_hyphen         | int64             | <NA>            | <NA>          | <NA>     |
| is_clause_beginning     | int64             | <NA>            | <NA>          | <NA>     |
| is_sent_beginning       | int64             | <NA>            | <NA>          | <NA>     |
| contains_abbreviation   | int64             | <NA>            | <NA>          | <NA>     |
| PRELS                   | int64             | <NA>            | <NA>          | <NA>     |
| PRELAT                  | int64             | <NA>            | <NA>          | <NA>     |
| PPOSAT                  | int64             | <NA>            | <NA>          | <NA>     |
| PPER                    | int64             | <NA>            | <NA>          | <NA>     |
| PPOSS                   | int64             | <NA>            | <NA>          | <NA>     |
| PIDAT                   | int64             | <NA>            | <NA>          | <NA>     |
| PIAT                    | int64             | <NA>            | <NA>          | <NA>     |
| PIS                     | int64             | <NA>            | <NA>          | <NA>     |
| PDAT                    | int64             | <NA>            | <NA>          | <NA>     |
| PDS                     | int64             | <NA>            | <NA>          | <NA>     |
| NN                      | int64             | <NA>            | <NA>          | <NA>     |
| NE                      | int64             | <NA>            | <NA>          | <NA>     |
| KOKOM                   | int64             | <NA>            | <NA>          | <NA>     |
| KON                     | int64             | <NA>            | <NA>          | <NA>     |
| KOUS                    | int64             | <NA>            | <NA>          | <NA>     |
| KOUI                    | int64             | <NA>            | <NA>          | <NA>     |
| ITJ                     | int64             | <NA>            | <NA>          | <NA>     |
| FM                      | int64             | <NA>            | <NA>          | <NA>     |
| CARD                    | int64             | <NA>            | <NA>          | <NA>     |
| ART                     | int64             | <NA>            | <NA>          | <NA>     |
| APZR                    | int64             | <NA>            | <NA>          | <NA>     |
| APPO                    | int64             | <NA>            | <NA>          | <NA>     |
| APPRART                 | int64             | <NA>            | <NA>          | <NA>     |
| APPR                    | int64             | <NA>            | <NA>          | <NA>     |
| ADV                     | int64             | <NA>            | <NA>          | <NA>     |
| ADJD                    | int64             | <NA>            | <NA>          | <NA>     |
| ADJA                    | int64             | <NA>            | <NA>          | <NA>     |
| XY                      | int64             | <NA>            | <NA>          | <NA>     |
