readerId,major,beginner/expert,glasses,age,handedness,hours_sleep,alcohol,gender
0,P,E,B,26,r,8,n,w
1,P,E,B,None,r,6.5,n,m
2,P,E,B,26,r,7.5,n,w
3,P,E,B,26,r,6.5,n,m
4,P,E,n,25,r,7,n,m
5,P,E,n,22,r,7.5,n,w
6,P,E,n,27,r,7,n,m
7,P,E,n,23,r,8,n,m
8,P,E,n,30,r,6,n,m
10,P,E,n,34,r,5.5,n,w
12,P,E,n,26,r,7,n,w
13,P,E,n,26,r,7,n,w
14,P,E,n,22,r,7,j,m
15,P,E,n,25,r,7,n,w
16,P,E,n,24,r,7,n,w
17,P,E,n,25,r,11,n,w
18,P,E,n,23,r,8.5,n,m
19,P,E,n,25,r,7.5,n,m
20,P,E,B,28,r,7.5,n,m
22,P,A,n,20,r,7,n,m
23,P,E,n,26,l,9,n,w
30,P,A,n,30,r,7,n,m
31,P,A,B,19,r,5.5,n,w
32,P,A,n,20,r,6,n,w
34,P,A,B,18,r,8,n,m
35,P,A,n,20,r,7,n,m
36,P,A,B,24,r,8,n,m
37,P,A,n,19,r,7,n,m
38,P,A,n,19,r,8,n,w
39,P,A,n,19,r,0,n,m
40,P,A,B,19,r,9,j,m
41,P,A,n,19,r,7,n,m
60,B,E,B,27,l,6.5,n,m
61,B,E,n,22,r,8,n,w
62,B,E,n,21,r,7,n,w
63,B,E,B,25,r,7,n,w
64,B,E,B,25,r,7.5,n,m
65,B,E,B,27,l,7.5,n,m
66,B,E,n,25,r,6,n,w
67,B,E,B,41,l,6.5,n,m
68,B,E,n,22,r,6,n,w
69,B,E,n,26,r,10,n,w
70,B,E,n,25,r,8,n,w
71,B,E,n,23,r,7,n,m
72,B,E,n,32,r,8,n,w
73,B,E,n,22,r,7,n,w
74,B,E,n,30,r,8,n,w
75,B,E,B,32,r,8,n,w
76,B,E,n,24,r,7,n,w
77,B,E,n,28,r,6,n,w
78,B,E,B,27,r,8,j,m
79,B,E,n,23,r,7,n,m
80,B,E,B,22,r,6,n,w
81,B,E,n,27,r,8,n,m
82,B,E,n,25,r,7,n,w
83,B,E,B,26,l,7.5,n,w
84,B,E,n,25,r,8,n,m
85,B,E,B,29,r,5,n,m
87,B,E,n,25,r,8.5,n,w
90,B,A,n,26,r,5.5,n,m
91,B,A,n,18,l,6.5,n,m
92,B,A,n,20,r,6,n,w
93,B,A,n,18,r,8,n,w
94,B,A,n,18,r,7.5,n,w
95,B,A,n,22,r,7,n,w
96,B,A,n,24,r,8,n,w
97,B,A,n,25,r,8,n,w
98,B,A,n,19,r,7,n,m
99,B,A,n,27,r,9,n,w
100,B,A,n,20,r,7.5,n,w
101,B,A,n,26,r,8,n,m
102,B,A,n,21,r,7.5,n,m
103,B,A,n,20,r,7,n,m
104,B,A,None,None,None,None,None,None
105,B,A,B,19,r,7.5,n,w
