reader_id	reader_discipline	reader_discipline_numeric	level_of_studies	level_of_studies_numeric	discipline_level_of_studies	discipline_level_of_studies_numeric	glasses	age	handedness	hours_sleep	alcohol	gender	gender_numeric	semester	bilingual	state	grade	subject_detailed
0	physics	1	graduate	1	physics-graduate	3	yes	26.0	right	8.0	no	female	1.0	9. FA Master Klimaphysik	n	Brandenburg	1,9	Physik
1	physics	1	graduate	1	physics-graduate	3	yes		right	6.5	no	male	0.0	5. FA Master	n	Brandenburg		Physik
2	physics	1	graduate	1	physics-graduate	3	yes	26.0	right	7.5	no	female	1.0	Doktorandin	n	Brandenburg	1,4	Physik
3	physics	1	graduate	1	physics-graduate	3	yes	26.0	right	6.5	no	male	0.0	Doktorand	n	Brandenburg	1	Physik
4	physics	1	graduate	1	physics-graduate	3	no	25.0	right	7.0	no	male	0.0	5. FS Master	n	Brandenburg	2,2	Physik
5	physics	1	graduate	1	physics-graduate	3	no	22.0	right	7.5	no	female	1.0	10. Semester Bachelor	n	Niedersachsen	2,7	Physik/Mathe LA
6	physics	1	graduate	1	physics-graduate	3	no	27.0	right	7.0	no	male	0.0	1. FS Master	n	Brandenburg	2,3	Physik/Englisch  LA
7	physics	1	graduate	1	physics-graduate	3	no	23.0	right	8.0	no	male	0.0	7 Sem Bachelor	n	Berlin	3,3	LA Physik, Chemie
8	physics	1	graduate	1	physics-graduate	3	no	30.0	right	6.0	no	male	0.0	Lehrer Gymnasium	n	Brandenburg	2	Physik/Politik LA
10	physics	1	graduate	1	physics-graduate	3	no	34.0	right	5.5	no	female	1.0	24. Semester Diplom	n	Brandenburg	2	Physik
12	physics	1	graduate	1	physics-graduate	3	no	26.0	right	7.0	no	female	1.0	Doktorandin	n	Thüringen	1,3	LA Physik/ Mathe
13	physics	1	graduate	1	physics-graduate	3	no	26.0	right	7.0	no	female	1.0	8. Semester Bachelor	n	Brandenburg	2,7	Physik
14	physics	1	graduate	1	physics-graduate	3	no	22.0	right	7.0	yes	male	0.0	9. Semester	n	Brandenburg	1,9	Physik/Mathe LA 
15	physics	1	graduate	1	physics-graduate	3	no	25.0	right	7.0	no	female	1.0	5. Fachsemester Master	n	Berlin	2,7	Physik LA
16	physics	1	graduate	1	physics-graduate	3	no	24.0	right	7.0	no	female	1.0	2. Fachsemester Master	n	Bayern	1,7	Physik
17	physics	1	graduate	1	physics-graduate	3	no	25.0	right	11.0	no	female	1.0	3. FS Master	n	Brandenburg	2,3	MA LA Physik
18	physics	1	graduate	1	physics-graduate	3	no	23.0	right	8.5	no	male	0.0	9. Semester	n	Baden-Würtemberg	1,1	Physik
19	physics	1	graduate	1	physics-graduate	3	no	25.0	right	7.5	no	male	0.0	1. FS Master	n	Brandenburg	2,5	Physik
20	physics	1	graduate	1	physics-graduate	3	yes	28.0	right	7.5	no	male	0.0	1. FS Master	n	Brandenburg	2	Physik LA
22	physics	1	undergraduate	0	physics-undergraduate	2	no	20.0	right	7.0	no	male	0.0	3. Semester	n	Sachsen-Anhalt	1	Physik/Geografie LA
23	physics	1	graduate	1	physics-graduate	3	no	26.0	left	9.0	no	female	1.0	10. Semester	n	Brandenburg	1,5	Physik/ Mathe LA
30	physics	1	undergraduate	0	physics-undergraduate	2	no	30.0	right	7.0	no	male	0.0	3.Sem Bachelor	n	Berlin	2	Physik
