reader_id	reader_discipline	reader_discipline_numeric	level_of_studies	level_of_studies_numeric	text_id	text_domain	expert_reading_label	expert_reading_label_numeric	acc_tq_1	acc_tq_2	acc_tq_3	acc_bq_1	acc_bq_2	acc_bq_3	mean_acc_tq	mean_acc_bq
0	physics	1	graduate	1	b0	biology	non-expert-reading	0	1.0	1.0	0.0	0.0	0.0	1.0	0.6666666666666666	0.3333333333333333
0	physics	1	graduate	1	p5	physics	expert-reading	1	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
0	physics	1	graduate	1	p4	physics	expert-reading	1	1.0	1.0	0.0	1.0	0.0	0.0	0.6666666666666666	0.3333333333333333
0	physics	1	graduate	1	p3	physics	expert-reading	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.3333333333333333
0	physics	1	graduate	1	p1	physics	expert-reading	1	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.6666666666666666
0	physics	1	graduate	1	p0	physics	expert-reading	1	0.0	1.0	1.0	0.0	0.0	0.0	0.6666666666666666	0.0
0	physics	1	graduate	1	p2	physics	expert-reading	1	0.0	1.0	1.0	1.0	0.0	0.0	0.6666666666666666	0.3333333333333333
0	physics	1	graduate	1	b4	biology	non-expert-reading	0	0.0	0.0	1.0	0.0	0.0	1.0	0.3333333333333333	0.3333333333333333
0	physics	1	graduate	1	b3	biology	non-expert-reading	0	1.0	0.0	1.0	0.0	1.0	1.0	0.6666666666666666	0.6666666666666666
0	physics	1	graduate	1	b2	biology	non-expert-reading	0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.3333333333333333
0	physics	1	graduate	1	b1	biology	non-expert-reading	0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.6666666666666666
0	physics	1	graduate	1	b5	biology	non-expert-reading	0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.3333333333333333
1	physics	1	graduate	1	p3	physics	expert-reading	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.6666666666666666
1	physics	1	graduate	1	b0	biology	non-expert-reading	0	0.0	1.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.3333333333333333
1	physics	1	graduate	1	p5	physics	expert-reading	1								
1	physics	1	graduate	1	p4	physics	expert-reading	1	1.0	1.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0
1	physics	1	graduate	1	p1	physics	expert-reading	1	1.0	1.0	0.0	1.0	1.0	0.0	0.6666666666666666	0.6666666666666666
1	physics	1	graduate	1	p2	physics	expert-reading	1	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.6666666666666666
1	physics	1	graduate	1	b5	biology	non-expert-reading	0	0.0	1.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0
1	physics	1	graduate	1	b1	biology	non-expert-reading	0	1.0	1.0	0.0	0.0	1.0	0.0	0.6666666666666666	0.3333333333333333
1	physics	1	graduate	1	b4	biology	non-expert-reading	0	0.0	1.0	1.0	1.0	0.0	1.0	0.6666666666666666	0.6666666666666666
1	physics	1	graduate	1	b3	biology	non-expert-reading	0	0.0	0.0	1.0	1.0	1.0	1.0	0.3333333333333333	1.0
1	physics	1	graduate	1	b2	biology	non-expert-reading	0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.3333333333333333
1	physics	1	graduate	1	p0	physics	expert-reading	1	1.0	1.0	0.0	1.0	0.0	0.0	0.6666666666666666	0.3333333333333333
2	physics	1	graduate	1	p5	physics	expert-reading	1	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
2	physics	1	graduate	1	p4	physics	expert-reading	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.3333333333333333
2	physics	1	graduate	1	p3	physics	expert-reading	1	1.0	1.0	0.0	0.0	0.0	1.0	0.6666666666666666	0.3333333333333333
2	physics	1	graduate	1	p2	physics	expert-reading	1	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
2	physics	1	graduate	1	p1	physics	expert-reading	1	0.0	1.0	1.0	1.0	1.0	0.0	0.6666666666666666	0.6666666666666666
2	physics	1	graduate	1	b5	biology	non-expert-reading	0	1.0	0.0	1.0	1.0	1.0	0.0	0.6666666666666666	0.6666666666666666
