participant_id,text_id,text_domain,acc_tq1,acc_tq2,acc_tq3,mean_acc_tq,reader_discipline,level_of_studies
112,b0,biology,1,0,0,0.3333333333333333,other,other
112,b1,biology,1,0,0,0.3333333333333333,other,other
112,b2,biology,1,0,0,0.3333333333333333,other,other
112,b3,biology,0,0,1,0.3333333333333333,other,other
112,b4,biology,0,0,0,0.0,other,other
112,b5,biology,0,1,0,0.3333333333333333,other,other
112,p0,physics,0,0,0,0.0,other,other
112,p1,physics,1,0,0,0.3333333333333333,other,other
112,p2,physics,1,1,1,1.0,other,other
112,p3,physics,0,0,0,0.0,other,other
112,p4,physics,0,0,0,0.0,other,other
112,p5,physics,0,0,0,0.0,other,other
113,b0,biology,1,1,0,0.6666666666666666,other,other
113,b1,biology,0,1,0,0.3333333333333333,other,other
113,b2,biology,1,0,0,0.3333333333333333,other,other
113,b3,biology,0,0,1,0.3333333333333333,other,other
113,b4,biology,0,0,0,0.0,other,other
113,b5,biology,0,1,0,0.3333333333333333,other,other
113,p0,physics,0,1,0,0.3333333333333333,other,other
113,p1,physics,0,1,1,0.6666666666666666,other,other
113,p2,physics,1,0,1,0.6666666666666666,other,other
113,p3,physics,1,0,0,0.3333333333333333,other,other
113,p4,physics,0,0,0,0.0,other,other
113,p5,physics,0,0,0,0.0,other,other
114,b0,biology,0,1,0,0.3333333333333333,other,other
114,b1,biology,1,0,0,0.3333333333333333,other,other
114,b2,biology,1,0,0,0.3333333333333333,other,other
114,b3,biology,0,0,1,0.3333333333333333,other,other
114,b4,biology,0,0,0,0.0,other,other
114,b5,biology,0,0,0,0.0,other,other
114,p0,physics,0,1,0,0.3333333333333333,other,other
114,p1,physics,0,0,0,0.0,other,other
114,p2,physics,0,0,0,0.0,other,other
114,p3,physics,1,1,0,0.6666666666666666,other,other
114,p4,physics,0,1,0,0.3333333333333333,other,other
114,p5,physics,0,0,0,0.0,other,other
115,b0,biology,1,0,1,0.6666666666666666,other,other
115,b1,biology,1,0,1,0.6666666666666666,other,other
115,b2,biology,0,0,0,0.0,other,other
115,b3,biology,1,0,1,0.6666666666666666,other,other
115,b4,biology,1,0,0,0.3333333333333333,other,other
115,b5,biology,0,1,0,0.3333333333333333,other,other
115,p0,physics,0,0,0,0.0,other,other
115,p1,physics,0,0,0,0.0,other,other
115,p2,physics,0,0,0,0.0,other,other
115,p3,physics,1,0,0,0.3333333333333333,other,other
115,p4,physics,0,1,0,0.3333333333333333,other,other
115,p5,physics,0,0,0,0.0,other,other
117,b0,biology,1,0,1,0.6666666666666666,physics,graduate
117,b1,biology,0,0,0,0.0,physics,graduate
117,b2,biology,1,0,0,0.3333333333333333,physics,graduate
117,b3,biology,0,0,1,0.3333333333333333,physics,graduate
117,b4,biology,0,1,0,0.3333333333333333,physics,graduate
117,b5,biology,0,0,0,0.0,physics,graduate
117,p0,physics,0,1,0,0.3333333333333333,physics,graduate
117,p1,physics,0,1,0,0.3333333333333333,physics,graduate
117,p2,physics,0,0,0,0.0,physics,graduate
117,p3,physics,0,0,0,0.0,physics,graduate
117,p4,physics,1,0,0,0.3333333333333333,physics,graduate
117,p5,physics,0,0,0,0.0,physics,graduate
141,b0,biology,1,0,0,0.3333333333333333,physics,graduate
141,b1,biology,1,0,0,0.3333333333333333,physics,graduate
141,b2,biology,1,0,0,0.3333333333333333,physics,graduate
141,b3,biology,0,1,1,0.6666666666666666,physics,graduate
141,b4,biology,0,0,0,0.0,physics,graduate
141,b5,biology,0,1,0,0.3333333333333333,physics,graduate
141,p0,physics,0,0,1,0.3333333333333333,physics,graduate
141,p1,physics,1,0,0,0.3333333333333333,physics,graduate
141,p2,physics,1,0,0,0.3333333333333333,physics,graduate
141,p3,physics,0,0,0,0.0,physics,graduate
