sent_index_in_text	sentence	dependency_tree	text_id_numeric	text_id
1	Ein Zyklotron besteht aus einer flachen, zylindrischen Vakuumkammer zwischen den Polen eines Elektromagneten, der ein Feld in z-Richtung erzeugt.	(S (NP (ART Ein) (NN Zyklotron)) (VVFIN besteht) (APPR aus) (ART einer) (CAP (ADJA flachen))) ($, ,) (ADJA zylindrischen) (NN Vakuumkammer) (APPR zwischen) (ART den) (NN Polen) (ART eines) (NN Elektromagneten) ($, ,) (PP (NP (S (PRELS der) (NP (ART ein) (NN Feld) (PP (APPR in) (NN z-Richtung))) (VVFIN erzeugt)))) ($. .)	6	p0
2	Die Kammer ist in zwei D-förmige Hälften aufgeteilt, zwischen denen eine Hochfrequenzspannung anliegt.	(S (NP (ART Die) (NN Kammer)) (VAFIN ist) (VP (APPR in) (CARD zwei) (ADJA D-förmige) (NN Hälften) (VVPP aufgeteilt))) ($, ,) (PP (S (PP (APPR zwischen) (PRELS denen)) (NP (ART eine) (NN Hochfrequenzspannung)) (VVFIN anliegt))) ($. .)	6	p0
3	Die von der Ionenquelle im Spalt zwischen den Kammern im Zentrum der Anordnung emittierten positiven Ionen werden auf die negative Kammerhälfte zu beschleunigt.	(S (NP (ART Die) (AP (APPR von) (ART der) (NN Ionenquelle) (PP (APPRART im) (NN Spalt) (PP (APPR zwischen) (ART den) (NN Kammern))) (PP (APPRART im) (NN Zentrum) (NP (ART der) (NN Anordnung))) (ADJA emittierten)) (ADJA positiven) (NN Ionen)) (VAFIN werden) (VP (PP (APPR auf) (ART die) (ADJA negative) (NN Kammerhälfte)) (VZ (PTKZU zu) (VVINF beschleunigt)))) ($. .)	6	p0
4	Da im Inneren der Kammerhälften mit metallischen Wänden kein elektrisches Feld existiert, beschreiben die Ionen hier im Magnetfeld einen Halbkreis in der x-y-Ebene, dessen Radius durch die als Zentripetalkraft wirkende Lorentzkraft festgelegt und dessen Umlaufszeit unabhängig vom Radius ist.	(S (KOUS Da) (PP (APPRART im) (NN Inneren) (NP (ART der) (NN Kammerhälften) (PP (APPR mit) (ADJA metallischen) (NN Wänden)))) (NP (PIAT kein) (ADJA elektrisches) (NN Feld)) (VVFIN existiert)) ($, ,) (S (VVFIN beschreiben) (NP (ART die) (NN Ionen)) (ADV hier) (PP (APPRART im) (NN Magnetfeld)) (ART einen) (NN Halbkreis) (PP (APPR in) (ART der) (NN x-y-Ebene))) ($, ,) (NP (CS (S (NP (PRELAT dessen) (NN Radius)) (VP (PP (APPR durch) (ART die) (AP (PP (APPR als) (NN Zentripetalkraft)) (ADJA wirkende)) (NN Lorentzkraft)) (VVPP festgelegt))) (KON und) (S (NP (PRELAT dessen) (NN Umlaufszeit)) (AP (ADJD unabhängig) (PP (APPRART vom) (NN Radius))) (VAFIN ist)))) ($. .)	6	p0
5	Wird die Hochfrequenz nun genau so gewählt, dass die Ionen nach Durchlaufen des Halbkreises immer zu einem Zeitpunkt wieder am Spalt ankommen, bei dem die richtige Polarität der Beschleunigungsspannung anliegt, nimmt ihre kinetische Energie bei Durchlaufen des Spaltes zu, ihre Geschwindigkeit wächst und daher auch der Radius des nächsten Halbkreises.	(S (VAFIN Wird) (NP (ART die) (NN Hochfrequenz)) (VP (ADV nun) (AVP (ADJD genau) (ADV so)) (VVPP gewählt))) ($, ,) (S (KOUS dass) (NP (ART die) (NN Ionen)) (PP (APPR nach) (NN Durchlaufen) (NP (ART des) (NN Halbkreises))) (ADV immer) (APPR zu) (ART einem) (NN Zeitpunkt) (ADV wieder) (APPRART am) (NN Spalt) (VVFIN ankommen)) ($, ,) (PP (S (PP (APPR bei) (PRELS dem)) (NP (ART die) (ADJA richtige) (NN Polarität)) (NP (ART der) (NN Beschleunigungsspannung)) (VVFIN anliegt))) ($, ,) (CS (S (VVFIN nimmt) (NP (PPOSAT ihre) (ADJA kinetische) (NN Energie)) (PP (APPR bei) (NN Durchlaufen) (NP (ART des) (NN Spaltes))) (PTKVZ zu))) ($, ,) (S (NP (PPOSAT ihre) (NN Geschwindigkeit)) (VVFIN wächst)) (KON und) (S (PROAV daher) (NP (ADV auch) (ART der) (NN Radius) (NP (ART des) (ADJA nächsten) (NN Halbkreises)))) ($. .)	6	p0
6	Die Ionen durchlaufen deshalb eine spiralartige Bahn, die aus lauter Halbkreisen mit wachsenden Radien besteht, bis sie den Rand des Magnetfeldes erreicht haben und dort durch ein elektrisches Ablenkfeld extrahiert werden können.	(S (NP (ART Die) (NN Ionen)) (VVFIN durchlaufen) (PROAV deshalb) (ART eine) (ADJA spiralartige) (NN Bahn)) ($, ,) (NP (S (PRELS die) (PP (APPR aus) (PIAT lauter) (NN Halbkreisen)) (PP (APPR mit) (ADJA wachsenden) (NN Radien)) (VVFIN besteht))) ($, ,) (CS (S (KOUS bis) (PPER sie) (VP (NP (ART den) (NN Rand) (NP (ART des) (NN Magnetfeldes))) (VVPP erreicht)) (VAFIN haben)) (KON und) (S (VP (VP (ADV dort) (PP (APPR durch) (ART ein) (ADJA elektrisches) (NN Ablenkfeld)) (VVPP extrahiert)) (VAINF werden)) (VMFIN können))) ($. .)	6	p0
1	Um das Vorhandensein der Polymerasekettenreaktion-Produkte feststellen zu können, verwendet man die Gelelektrophorese mit einer anschließenden Behandlung des Gels durch Ethidiumbromid.	(VP (KOUI Um) (VP (NP (ART das) (NN Vorhandensein) (NP (ART der) (NN Polymerasekettenreaktion-Produkte))) (VVINF feststellen)) (VZ (PTKZU zu) (VMINF können))) ($, ,) (S (VVFIN verwendet) (PIS man) (NP (ART die) (NN Gelelektrophorese)) (PP (APPR mit) (ART einer) (ADJA anschließenden) (NN Behandlung) (NP (ART des) (NN Gels)) (PP (APPR durch) (NN Ethidiumbromid)))) ($. .)	0	b0
2	Bei dieser Methode wird die negative Ladung der DNA-Fragmente genutzt.	(S (PP (APPR Bei) (PDAT dieser) (NN Methode)) (VAFIN wird) (NP (ART die) (ADJA negative) (NN Ladung) (NP (ART der) (NN DNA-Fragmente))) (VP (VVPP genutzt))) ($. .)	0	b0
3	Die DNA-Fragmente sind auf Grund der darin enthaltenen Phosphatreste negativ geladen.	(S (NP (ART Die) (NN DNA-Fragmente)) (VAFIN sind) (VP (PP (APPR auf) (NN Grund) (NP (ART der) (AP (PROAV darin) (ADJA enthaltenen)) (NN Phosphatreste))) (ADJD negativ) (VVPP geladen))) ($. .)	0	b0
4	Anlegen eines elektrischen Feldes lässt die Polymerasekettenreaktion-Produkte durch ein gelartiges Medium, zumeist Agarose, wandern.	(S (NP (NN Anlegen) (NP (ART eines) (ADJA elektrischen) (NN Feldes))) (VVFIN lässt) (NP (ART die) (NN Polymerasekettenreaktion-Produkte)) (APPR durch) (ART ein) (ADJA gelartiges) (NN Medium)) ($, ,) (PP (NP (ADV zumeist) (NN Agarose))) ($, ,) (VP (VVINF wandern)) ($. .)	0	b0
5	"Die DNA-Fragmente wandern durch das ""Agarose-Sieb"" vom Minuspol zum Pluspol."	"(S (NP (ART Die) (NN DNA-Fragmente)) (VVFIN wandern) (APPR durch) (ART das)) ($LRB "") (PP (NN Agarose-Sieb)) ($LRB "") (PP (PP (APPRART vom) (NN Minuspol)) (PP (APPRART zum) (NN Pluspol))) ($. .)"	0	b0
6	"Kleinere Fragmente wandern schneller durch das ""Agarose-Sieb"", daher befinden sie sich in der Nähe zum Pluspol des Gels."	"(CS (S (NP (ADJA Kleinere) (NN Fragmente)) (VVFIN wandern) (ADJD schneller) (APPR durch) (ART das))) ($LRB "") (PP (NN Agarose-Sieb)) ($LRB "") ($, ,) (S (PROAV daher) (VVFIN befinden) (PPER sie) (PRF sich) (PP (APPR in) (ART der) (NN Nähe) (PP (APPRART zum) (NN Pluspol) (NP (ART des) (NN Gels))))) ($. .)"	0	b0
7	Die größeren Fragmente wandern langsamer und bleiben in der Nähe zum Minuspol.	(CS (S (NP (ART Die) (ADJA größeren) (NN Fragmente)) (VVFIN wandern) (ADJD langsamer)) (KON und) (S (VVFIN bleiben) (PP (APPR in) (ART der) (NN Nähe) (PP (APPRART zum) (NN Minuspol))))) ($. .)	0	b0
8	Um DNA-Fragmente sichtbar zu machen, behandelt man das Gel mit einer wässrigen Lösung von Ethidiumbromid.	(VP (KOUI Um) (NN DNA-Fragmente) (ADJD sichtbar) (VZ (PTKZU zu) (VVINF machen))) ($, ,) (S (VVFIN behandelt) (PIS man) (NP (ART das) (NN Gel)) (PP (APPR mit) (ART einer) (ADJA wässrigen) (NN Lösung) (PP (APPR von) (NN Ethidiumbromid)))) ($. .)	0	b0
