index	sent_index_in_text	sentence	constituency_tree	str_constituents	pos_tags	constituents	text_id_numeric	text_id	needs_correction
0	1	Um das Vorhandensein der Polymerasekettenreaktion-Produkte feststellen zu können, verwendet man die Gelelektrophorese mit einer anschließenden Behandlung des Gels durch Ethidiumbromid.	(VP (KOUI Um) (VP (NP (ART das) (NN Vorhandensein) (NP (ART der) (NN Polymerasekettenreaktion-Produkte))) (VVINF feststellen)) (VZ (PTKZU zu) (VMINF können))) ($, ,) (S (VVFIN verwendet) (PIS man) (NP (ART die) (NN Gelelektrophorese)) (PP (APPR mit) (ART einer) (ADJA anschließenden) (NN Behandlung) (NP (ART des) (NN Gels)) (PP (APPR durch) (NN Ethidiumbromid)))) ($. .)	['(S (VP (KOUI Um) (NP (ART das) (NN Vorhandensein) (NP (ART der) (NN Polymerasekettenreaktion-Produkte))) (VZ (VVINF feststellen) (PTKZU zu) (VMINF können))) ($, ,)  (VVFIN verwendet) (PIS man) (NP (ART die) (NN Gelelektrophorese)) (PP (APPR mit) (ART einer) (ADJA anschließenden) (NN Behandlung) (NP (ART des) (NN Gels)) (PP (APPR durch) (NN Ethidiumbromid)))) ($. .)']	['SCONJ', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB', 'PART', 'AUX', 'PUNCT', 'VERB', 'PRON', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']	[Um das Vorhandensein der Polymerasekettenreaktion-Produkte feststellen zu können, verwendet man die Gelelektrophorese mit einer anschließenden Behandlung des Gels durch Ethidiumbromid., Um das Vorhandensein der Polymerasekettenreaktion-Produkte feststellen zu können, Um, das Vorhandensein der Polymerasekettenreaktion-Produkte feststellen, das Vorhandensein der Polymerasekettenreaktion-Produkte, das, Vorhandensein, der Polymerasekettenreaktion-Produkte, der, Polymerasekettenreaktion-Produkte, feststellen, zu können, zu, können, ,, verwendet man die Gelelektrophorese mit einer anschließenden Behandlung des Gels durch Ethidiumbromid, verwendet, man, die Gelelektrophorese, die, Gelelektrophorese, mit einer anschließenden Behandlung des Gels durch Ethidiumbromid, mit, einer, anschließenden, Behandlung, des Gels, des, Gels, durch Ethidiumbromid, durch, Ethidiumbromid, .]	0	b0	False
1	2	Bei dieser Methode wird die negative Ladung der DNA-Fragmente genutzt.	(S (PP (APPR Bei) (PDAT dieser) (NN Methode)) (VAFIN wird) (NP (ART die) (ADJA negative) (NN Ladung) (NP (ART der) (NN DNA-Fragmente))) (VP (VVPP genutzt))) ($. .)	['(S (PP (APPR Bei) (PDAT dieser) (NN Methode)) (VAFIN wird) (NP (ART die) (ADJA negative) (NN Ladung) (NP (ART der) (NN DNA-Fragmente))) (VP (VVPP genutzt))) ($. .)']	['ADP', 'DET', 'NOUN', 'AUX', 'DET', 'ADJ', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']	[Bei dieser Methode wird die negative Ladung der DNA-Fragmente genutzt., Bei dieser Methode wird die negative Ladung der DNA-Fragmente genutzt, Bei dieser Methode, Bei, dieser, Methode, wird, die negative Ladung der DNA-Fragmente, die, negative, Ladung, der DNA-Fragmente, der, DNA-Fragmente, genutzt, .]	0	b0	False
2	3	Die DNA-Fragmente sind auf Grund der darin enthaltenen Phosphatreste negativ geladen.	(S (NP (ART Die) (NN DNA-Fragmente)) (VAFIN sind) (VP (PP (APPR auf) (NN Grund) (NP (ART der) (AP (PROAV darin) (ADJA enthaltenen)) (NN Phosphatreste))) (ADJD negativ) (VVPP geladen))) ($. .)	['(S (NP (ART Die) (NN DNA-Fragmente)) (VAFIN sind) (VP (PP (APPR auf) (NN Grund) (NP (ART der) (AP (PROAV darin) (ADJA enthaltenen)) (NN Phosphatreste))) (ADJD negativ) (VVPP geladen))) ($. .)']	['DET', 'NOUN', 'AUX', 'ADP', 'NOUN', 'DET', 'ADV', 'ADJ', 'NOUN', 'ADV', 'VERB', 'PUNCT']	[Die DNA-Fragmente sind auf Grund der darin enthaltenen Phosphatreste negativ geladen., Die DNA-Fragmente sind auf Grund der darin enthaltenen Phosphatreste negativ geladen, Die DNA-Fragmente, Die, DNA-Fragmente, sind, auf Grund der darin enthaltenen Phosphatreste negativ geladen, auf Grund der darin enthaltenen Phosphatreste, auf, Grund, der darin enthaltenen Phosphatreste, der, darin enthaltenen, darin, enthaltenen, Phosphatreste, negativ, geladen, .]	0	b0	False
3	4	Anlegen eines elektrischen Feldes lässt die Polymerasekettenreaktion-Produkte durch ein gelartiges Medium, zumeist Agarose, wandern.	(S (NP (NN Anlegen) (NP (ART eines) (ADJA elektrischen) (NN Feldes))) (VVFIN lässt) (NP (ART die) (NN Polymerasekettenreaktion-Produkte)) (APPR durch) (ART ein) (ADJA gelartiges) (NN Medium)) ($, ,) (PP (NP (ADV zumeist) (NN Agarose))) ($, ,) (VP (VVINF wandern)) ($. .)	['(S (NP (NN Anlegen) (NP (ART eines) (ADJA elektrischen) (NN Feldes))) (VVFIN lässt) (NP (ART die) (NN Polymerasekettenreaktion-Produkte)) (PP (APPR durch) (ART ein) (ADJA gelartiges) (NN Medium) ($, ,)  (NP (ADV zumeist) (NN Agarose))) ($, ,) (VP (VVINF wandern))) ($. .)']	['NOUN', 'DET', 'ADJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'NOUN', 'PUNCT', 'VERB', 'PUNCT']	[Anlegen eines elektrischen Feldes lässt die Polymerasekettenreaktion-Produkte durch ein gelartiges Medium, zumeist Agarose, wandern., Anlegen eines elektrischen Feldes lässt die Polymerasekettenreaktion-Produkte durch ein gelartiges Medium, Anlegen eines elektrischen Feldes, Anlegen, eines elektrischen Feldes, eines, elektrischen, Feldes, lässt, die Polymerasekettenreaktion-Produkte, die, Polymerasekettenreaktion-Produkte, durch, ein, gelartiges, Medium, ,, zumeist Agarose, zumeist, Agarose, ,, wandern, .]	0	b0	False
4	5	"Die DNA-Fragmente wandern durch das ""Agarose-Sieb"" vom Minuspol zum Pluspol."	"(S (NP (ART Die) (NN DNA-Fragmente)) (VVFIN wandern) (APPR durch) (ART das)) ($LRB "") (PP (NN Agarose-Sieb)) ($LRB "") (PP (PP (APPRART vom) (NN Minuspol)) (PP (APPRART zum) (NN Pluspol))) ($. .)"	"['(S (NP (ART Die) (NN DNA-Fragmente)) (VVFIN wandern) (PP (APPR durch) (ART das) ($LRB "") (NN Agarose-Sieb)) ($LRB "") (PP (APPRART vom) (NN Minuspol)) (PP (APPRART zum) (NN Pluspol))) ($. .)']"	['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	"[Die DNA-Fragmente wandern durch das ""Agarose-Sieb"" vom Minuspol zum Pluspol., Die DNA-Fragmente wandern durch das, Die DNA-Fragmente, Die, DNA-Fragmente, wandern, durch, das, "", Agarose-Sieb, "", vom Minuspol zum Pluspol, vom Minuspol, vom, Minuspol, zum Pluspol, zum, Pluspol, .]"	0	b0	False
5	6	"Kleinere Fragmente wandern schneller durch das ""Agarose-Sieb"", daher befinden sie sich in der Nähe zum Pluspol des Gels."	"(CS (S (NP (ADJA Kleinere) (NN Fragmente)) (VVFIN wandern) (ADJD schneller) (APPR durch) (ART das))) ($LRB "") (PP (NN Agarose-Sieb)) ($LRB "") ($, ,) (S (PROAV daher) (VVFIN befinden) (PPER sie) (PRF sich) (PP (APPR in) (ART der) (NN Nähe) (PP (APPRART zum) (NN Pluspol) (NP (ART des) (NN Gels))))) ($. .)"	"['(CS (S (NP (ADJA Kleinere) (NN Fragmente)) (VVFIN wandern) (ADJD schneller) (PP (APPR durch) (ART das) ($LRB "") (NN Agarose-Sieb) ($LRB ""))) ($, ,) (S (PROAV daher) (VVFIN befinden) (PPER sie) (PRF sich) (PP (APPR in) (ART der) (NN Nähe) (PP (APPRART zum) (NN Pluspol) (NP (ART des) (NN Gels)))))) ($. .)']"	['ADJ', 'NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'ADV', 'VERB', 'PRON', 'PRON', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'PUNCT']	"[Kleinere Fragmente wandern schneller durch das ""Agarose-Sieb"", daher befinden sie sich in der Nähe zum Pluspol des Gels., Kleinere Fragmente wandern schneller durch das, Kleinere Fragmente, Kleinere, Fragmente, wandern, schneller, durch, das, "", Agarose-Sieb, "", ,, daher befinden sie sich in der Nähe zum Pluspol des Gels, daher, befinden, sie, sich, in der Nähe zum Pluspol des Gels, in, der, Nähe, zum Pluspol des Gels, zum, Pluspol, des Gels, des, Gels, .]"	0	b0	False
6	7	Die größeren Fragmente wandern langsamer und bleiben in der Nähe zum Minuspol.	(CS (S (NP (ART Die) (ADJA größeren) (NN Fragmente)) (VVFIN wandern) (ADJD langsamer)) (KON und) (S (VVFIN bleiben) (PP (APPR in) (ART der) (NN Nähe) (PP (APPRART zum) (NN Minuspol))))) ($. .)	['(CS (S (NP (ART Die) (ADJA größeren) (NN Fragmente)) (VVFIN wandern) (ADJD langsamer)) (KON und) (S (VVFIN bleiben) (PP (APPR in) (ART der) (NN Nähe) (PP (APPRART zum) (NN Minuspol))))) ($. .)']	['DET', 'ADJ', 'NOUN', 'VERB', 'ADV', 'CCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[Die größeren Fragmente wandern langsamer und bleiben in der Nähe zum Minuspol., Die größeren Fragmente wandern langsamer und bleiben in der Nähe zum Minuspol, Die größeren Fragmente wandern langsamer, Die größeren Fragmente, Die, größeren, Fragmente, wandern, langsamer, und, bleiben in der Nähe zum Minuspol, bleiben, in der Nähe zum Minuspol, in, der, Nähe, zum Minuspol, zum, Minuspol, .]	0	b0	False
7	8	Um DNA-Fragmente sichtbar zu machen, behandelt man das Gel mit einer wässrigen Lösung von Ethidiumbromid.	(VP (KOUI Um) (NN DNA-Fragmente) (ADJD sichtbar) (VZ (PTKZU zu) (VVINF machen))) ($, ,) (S (VVFIN behandelt) (PIS man) (NP (ART das) (NN Gel)) (PP (APPR mit) (ART einer) (ADJA wässrigen) (NN Lösung) (PP (APPR von) (NN Ethidiumbromid)))) ($. .)	['(S (VP (KOUI Um) (NN DNA-Fragmente) (ADJD sichtbar) (VZ (PTKZU zu) (VVINF machen))) ($, ,) (VVFIN behandelt) (PIS man) (NP (ART das) (NN Gel)) (PP (APPR mit) (ART einer) (ADJA wässrigen) (NN Lösung) (PP (APPR von) (NN Ethidiumbromid)))) ($. .)']	['SCONJ', 'NOUN', 'ADV', 'PART', 'VERB', 'PUNCT', 'VERB', 'PRON', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT']	[Um DNA-Fragmente sichtbar zu machen, behandelt man das Gel mit einer wässrigen Lösung von Ethidiumbromid., Um DNA-Fragmente sichtbar zu machen, Um, DNA-Fragmente, sichtbar, zu machen, zu, machen, ,, behandelt man das Gel mit einer wässrigen Lösung von Ethidiumbromid, behandelt, man, das Gel, das, Gel, mit einer wässrigen Lösung von Ethidiumbromid, mit, einer, wässrigen, Lösung, von Ethidiumbromid, von, Ethidiumbromid, .]	0	b0	False
8	9	Das Molekül des Ethidiumbromids ist planar und kann sich zwischen den Basen der DNA-Fragmente einlagern.	(CS (S (NP (ART Das) (NN Molekül) (NP (ART des) (NN Ethidiumbromids))) (VAFIN ist) (ADJD planar)) (KON und) (S (VMFIN kann) (VP (PRF sich) (PP (APPR zwischen) (ART den) (NN Basen) (NP (ART der) (NN DNA-Fragmente))) (VVINF einlagern)))) ($. .)	['(CS (S (NP (ART Das) (NN Molekül) (NP (ART des) (NN Ethidiumbromids))) (VAFIN ist) (ADJD planar)) (KON und) (S (VMFIN kann) (VP (PRF sich) (PP (APPR zwischen) (ART den) (NN Basen) (NP (ART der) (NN DNA-Fragmente))) (VVINF einlagern)))) ($. .)']	['DET', 'NOUN', 'DET', 'NOUN', 'AUX', 'PROPN', 'CCONJ', 'AUX', 'PRON', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']	[Das Molekül des Ethidiumbromids ist planar und kann sich zwischen den Basen der DNA-Fragmente einlagern., Das Molekül des Ethidiumbromids ist planar und kann sich zwischen den Basen der DNA-Fragmente einlagern, Das Molekül des Ethidiumbromids ist planar, Das Molekül des Ethidiumbromids, Das, Molekül, des Ethidiumbromids, des, Ethidiumbromids, ist, planar, und, kann sich zwischen den Basen der DNA-Fragmente einlagern, kann, sich zwischen den Basen der DNA-Fragmente einlagern, sich, zwischen den Basen der DNA-Fragmente, zwischen, den, Basen, der DNA-Fragmente, der, DNA-Fragmente, einlagern, .]	0	b0	False
9	10	Nur nach dem Entstehen eines solchen Komplexes und durch das Beleuchten mit UV-Licht kann man die Polymerasekettenreaktion-Produkte in Form von Banden sehen und fotografieren.	(S (CPP (PP (ADV Nur) (APPR nach) (ART dem) (NN Entstehen) (NP (ART eines) (PIAT solchen) (NN Komplexes))) (KON und) (PP (APPR durch) (ART das) (NN Beleuchten) (PP (APPR mit) (NN UV-Licht)))) (VMFIN kann) (PIS man) (CVP (VP (NP (ART die) (NN Polymerasekettenreaktion-Produkte) (PP (APPR in) (NN Form) (PP (APPR von) (NN Banden)))) (VVINF sehen)) (KON und) (VP (VVINF fotografieren)))) ($. .)	['(S (CPP (PP (ADV Nur) (APPR nach) (ART dem) (NN Entstehen) (NP (ART eines) (PIAT solchen) (NN Komplexes))) (KON und) (PP (APPR durch) (ART das) (NN Beleuchten) (PP (APPR mit) (NN UV-Licht)))) (VMFIN kann) (PIS man) (CVP (VP (NP (ART die) (NN Polymerasekettenreaktion-Produkte) (PP (APPR in) (NN Form) (PP (APPR von) (NN Banden)))) (VVINF sehen)) (KON und) (VP (VVINF fotografieren)))) ($. .)']	['ADV', 'ADP', 'DET', 'NOUN', 'DET', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'PRON', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'CCONJ', 'VERB', 'PUNCT']	[Nur nach dem Entstehen eines solchen Komplexes und durch das Beleuchten mit UV-Licht kann man die Polymerasekettenreaktion-Produkte in Form von Banden sehen und fotografieren., Nur nach dem Entstehen eines solchen Komplexes und durch das Beleuchten mit UV-Licht kann man die Polymerasekettenreaktion-Produkte in Form von Banden sehen und fotografieren, Nur nach dem Entstehen eines solchen Komplexes und durch das Beleuchten mit UV-Licht, Nur nach dem Entstehen eines solchen Komplexes, Nur, nach, dem, Entstehen, eines solchen Komplexes, eines, solchen, Komplexes, und, durch das Beleuchten mit UV-Licht, durch, das, Beleuchten, mit UV-Licht, mit, UV-Licht, kann, man, die Polymerasekettenreaktion-Produkte in Form von Banden sehen und fotografieren, die Polymerasekettenreaktion-Produkte in Form von Banden sehen, die Polymerasekettenreaktion-Produkte in Form von Banden, die, Polymerasekettenreaktion-Produkte, in Form von Banden, in, Form, von Banden, von, Banden, sehen, und, fotografieren, .]	0	b0	False
