version	text_id	text_domain	order_bq_1_ans	order_bq_2_ans	order_bq_3_ans	order_tq_1_ans	order_tq_2_ans	order_tq_3_ans	trial
0	p0	physics	[2, 1, 3, 4]	[3, 4, 2, 1]	[3, 4, 2, 1]	[4, 2, 3, 1]	[2, 4, 1, 3]	[4, 1, 2, 3]	1
0	b0	biology	[2, 4, 3, 1]	[2, 3, 4, 1]	[4, 3, 2, 1]	[2, 4, 1, 3]	[1, 4, 3, 2]	[1, 2, 4, 3]	2
0	p3	physics	[3, 2, 1, 4]	[4, 2, 3, 1]	[2, 1, 3, 4]	[1, 2, 3, 4]	[4, 3, 1, 2]	[3, 4, 2, 1]	3
0	b2	biology	[1, 2, 3, 4]	[1, 2, 3, 4]	[1, 4, 3, 2]	[1, 3, 4, 2]	[4, 2, 3, 1]	[4, 3, 1, 2]	4
0	b1	biology	[4, 1, 2, 3]	[2, 4, 3, 1]	[1, 4, 2, 3]	[1, 3, 2, 4]	[3, 4, 2, 1]	[4, 1, 3, 2]	5
0	p2	physics	[4, 3, 2, 1]	[2, 3, 4, 1]	[1, 2, 3, 4]	[1, 2, 3, 4]	[1, 3, 2, 4]	[3, 1, 2, 4]	6
0	b4	biology	[3, 2, 1, 4]	[3, 1, 4, 2]	[4, 2, 1, 3]	[2, 3, 4, 1]	[3, 1, 4, 2]	[4, 1, 2, 3]	7
0	b3	biology	[2, 3, 4, 1]	[1, 4, 3, 2]	[4, 1, 2, 3]	[3, 2, 4, 1]	[1, 3, 4, 2]	[1, 4, 2, 3]	8
0	p1	physics	[3, 1, 4, 2]	[4, 3, 1, 2]	[1, 3, 2, 4]	[2, 3, 4, 1]	[3, 1, 2, 4]	[3, 2, 4, 1]	9
0	b5	biology	[3, 4, 2, 1]	[4, 1, 3, 2]	[4, 2, 1, 3]	[2, 4, 3, 1]	[1, 3, 4, 2]	[3, 2, 4, 1]	10
0	p4	physics	[1, 2, 4, 3]	[1, 4, 3, 2]	[2, 3, 4, 1]	[4, 1, 3, 2]	[3, 2, 4, 1]	[2, 1, 4, 3]	11
0	p5	physics	[4, 3, 2, 1]	[4, 2, 1, 3]	[4, 2, 3, 1]	[4, 1, 3, 2]	[3, 4, 2, 1]	[2, 1, 4, 3]	12
1	b0	biology	[1, 2, 3, 4]	[4, 1, 2, 3]	[3, 4, 1, 2]	[1, 3, 4, 2]	[3, 4, 1, 2]	[3, 1, 2, 4]	1
