aoi_type	aoi	start_x	start_y	end_x	end_y	word
0 RECTANGLE	1.0	80.0	21.0	143.0	99.0	Eine
0 RECTANGLE	2.0	143.0	21.0	409.0	99.0	chlorophyllhaltige
0 RECTANGLE	3.0	409.0	21.0	618.0	99.0	Parenchymzelle
0 RECTANGLE	4.0	618.0	21.0	661.0	99.0	in
0 RECTANGLE	5.0	661.0	21.0	745.0	99.0	einem
0 RECTANGLE	6.0	745.0	21.0	997.0	99.0	Angiospermenblatt
0 RECTANGLE	7.0	997.0	21.0	1151.0	99.0	exportiert
0 RECTANGLE	8.0	1151.0	21.0	1317.0	99.0	organisches
0 RECTANGLE	9.0	1317.0	21.0	1444.0	99.0	Material
0 RECTANGLE	10.0	1444.0	21.0	1487.0	99.0	in
0 RECTANGLE	11.0	1487.0	21.0	1557.0	99.0	Form
0 RECTANGLE	12.0	1557.0	21.0	1605.0	99.0	von
0 RECTANGLE	13.0	82.0	99.0	227.0	181.0	Saccharose
0 RECTANGLE	14.0	227.0	99.0	282.0	181.0	aus
0 RECTANGLE	15.0	282.0	99.0	339.0	181.0	der
0 RECTANGLE	16.0	339.0	99.0	422.0	181.0	Zelle
0 RECTANGLE	17.0	422.0	99.0	479.0	181.0	und
0 RECTANGLE	18.0	479.0	99.0	605.0	181.0	versorgt
0 RECTANGLE	19.0	605.0	99.0	689.0	181.0	damit
0 RECTANGLE	20.0	689.0	99.0	787.0	181.0	selbst
0 RECTANGLE	21.0	787.0	99.0	829.0	181.0	in
0 RECTANGLE	22.0	829.0	99.0	884.0	181.0	der
0 RECTANGLE	23.0	884.0	99.0	969.0	181.0	Nacht
0 RECTANGLE	24.0	969.0	99.0	1039.0	181.0	alle
0 RECTANGLE	25.0	1039.0	99.0	1291.0	181.0	chlorophyllfreien
0 RECTANGLE	26.0	1291.0	99.0	1389.0	181.0	Zellen
0 RECTANGLE	27.0	1389.0	99.0	1445.0	181.0	der
0 RECTANGLE	28.0	1445.0	99.0	1569.0	181.0	Pflanze.
0 RECTANGLE	29.0	1569.0	99.0	1617.0	181.0	Das
0 RECTANGLE	30.0	82.0	181.0	184.0	263.0	Prinzip
0 RECTANGLE	31.0	184.0	181.0	241.0	263.0	ist
0 RECTANGLE	32.0	241.0	181.0	364.0	263.0	einfach:
0 RECTANGLE	33.0	364.0	181.0	409.0	263.0	Am
0 RECTANGLE	34.0	409.0	181.0	465.0	263.0	Tag
0 RECTANGLE	35.0	465.0	181.0	605.0	263.0	speichert
0 RECTANGLE	36.0	605.0	181.0	660.0	263.0	der
0 RECTANGLE	37.0	660.0	181.0	829.0	263.0	Chloroplast
0 RECTANGLE	38.0	829.0	181.0	884.0	263.0	die
0 RECTANGLE	39.0	884.0	181.0	1024.0	263.0	gebildete
0 RECTANGLE	40.0	1024.0	181.0	1081.0	263.0	und
0 RECTANGLE	41.0	1081.0	181.0	1276.0	263.0	überschüssige
0 RECTANGLE	42.0	1276.0	181.0	1389.0	263.0	Glucose
0 RECTANGLE	43.0	1389.0	181.0	1444.0	263.0	aus
0 RECTANGLE	44.0	1444.0	181.0	1492.0	263.0	der
0 RECTANGLE	45.0	82.0	263.0	269.0	345.0	Photosynthese
0 RECTANGLE	46.0	269.0	263.0	324.0	345.0	als
