aoi_type	aoi	start_x	start_y	end_x	end_y	character
0 RECTANGLE	1.0	80.0	21.0	129.0	99.0	Ein
0 RECTANGLE	2.0	129.0	21.0	268.0	99.0	Zyklotron
0 RECTANGLE	3.0	268.0	21.0	381.0	99.0	besteht
0 RECTANGLE	4.0	381.0	21.0	436.0	99.0	aus
0 RECTANGLE	5.0	436.0	21.0	521.0	99.0	einer
0 RECTANGLE	6.0	521.0	21.0	645.0	99.0	flachen,
0 RECTANGLE	7.0	645.0	21.0	842.0	99.0	zylindrischen
0 RECTANGLE	8.0	842.0	21.0	1025.0	99.0	Vakuumkammer
0 RECTANGLE	9.0	1025.0	21.0	1151.0	99.0	zwischen
0 RECTANGLE	10.0	1151.0	21.0	1207.0	99.0	den
0 RECTANGLE	11.0	1207.0	21.0	1291.0	99.0	Polen
0 RECTANGLE	12.0	1291.0	21.0	1374.0	99.0	eines
0 RECTANGLE	13.0	1374.0	21.0	1600.0	99.0	Elektromagneten,
0 RECTANGLE	14.0	81.0	99.0	129.0	181.0	der
0 RECTANGLE	15.0	129.0	99.0	185.0	181.0	ein
0 RECTANGLE	16.0	185.0	99.0	255.0	181.0	Feld
0 RECTANGLE	17.0	255.0	99.0	297.0	181.0	in
0 RECTANGLE	18.0	297.0	99.0	451.0	181.0	z-Richtung
0 RECTANGLE	19.0	451.0	99.0	575.0	181.0	erzeugt.
0 RECTANGLE	20.0	575.0	99.0	632.0	181.0	Die
0 RECTANGLE	21.0	632.0	99.0	730.0	181.0	Kammer
0 RECTANGLE	22.0	730.0	99.0	787.0	181.0	ist
0 RECTANGLE	23.0	787.0	99.0	829.0	181.0	in
0 RECTANGLE	24.0	829.0	99.0	898.0	181.0	zwei
0 RECTANGLE	25.0	898.0	99.0	1038.0	181.0	D-förmige
0 RECTANGLE	26.0	1038.0	99.0	1151.0	181.0	Hälften
0 RECTANGLE	27.0	1151.0	99.0	1317.0	181.0	aufgeteilt,
0 RECTANGLE	28.0	1317.0	99.0	1445.0	181.0	zwischen
0 RECTANGLE	29.0	1445.0	99.0	1529.0	181.0	denen
