aoi_type	aoi	start_x	start_y	end_x	end_y	word
0 RECTANGLE	1.0	80.0	21.0	157.0	99.0	Durch
0 RECTANGLE	2.0	157.0	21.0	297.0	99.0	Einführen
0 RECTANGLE	3.0	297.0	21.0	353.0	99.0	der
0 RECTANGLE	4.0	353.0	21.0	506.0	99.0	effektiven
0 RECTANGLE	5.0	506.0	21.0	591.0	99.0	Masse
0 RECTANGLE	6.0	591.0	21.0	689.0	99.0	können
0 RECTANGLE	7.0	689.0	21.0	843.0	99.0	Elektronen
0 RECTANGLE	8.0	843.0	21.0	886.0	99.0	im
0 RECTANGLE	9.0	886.0	21.0	1067.0	99.0	Leitungsband
0 RECTANGLE	10.0	1067.0	21.0	1124.0	99.0	und
0 RECTANGLE	11.0	1124.0	21.0	1220.0	99.0	Löcher
0 RECTANGLE	12.0	1220.0	21.0	1263.0	99.0	im
0 RECTANGLE	13.0	1263.0	21.0	1418.0	99.0	Valenzband
0 RECTANGLE	14.0	1418.0	21.0	1491.0	99.0	eines
0 RECTANGLE	15.0	81.0	99.0	225.0	181.0	Kristalles
0 RECTANGLE	16.0	225.0	99.0	283.0	181.0	wie
0 RECTANGLE	17.0	283.0	99.0	366.0	181.0	freie
0 RECTANGLE	18.0	366.0	99.0	493.0	181.0	Teilchen
0 RECTANGLE	19.0	493.0	99.0	646.0	181.0	aufgefasst
0 RECTANGLE	20.0	646.0	99.0	745.0	181.0	werden
0 RECTANGLE	21.0	745.0	99.0	801.0	181.0	und
0 RECTANGLE	22.0	801.0	99.0	913.0	181.0	bewegen
0 RECTANGLE	23.0	913.0	99.0	983.0	181.0	sich
0 RECTANGLE	24.0	983.0	99.0	1025.0	181.0	am
0 RECTANGLE	25.0	1025.0	99.0	1235.0	181.0	Energieminimum
0 RECTANGLE	26.0	1235.0	99.0	1278.0	181.0	im
0 RECTANGLE	27.0	1278.0	99.0	1459.0	181.0	Leitungsband
0 RECTANGLE	28.0	1459.0	99.0	1516.0	181.0	und
0 RECTANGLE	29.0	1516.0	99.0	1549.0	181.0	am
0 RECTANGLE	30.0	81.0	181.0	283.0	263.0	Energiemaximum
0 RECTANGLE	31.0	283.0	181.0	325.0	263.0	im
0 RECTANGLE	32.0	325.0	181.0	480.0	263.0	Valenzband
0 RECTANGLE	33.0	480.0	181.0	535.0	263.0	auf
0 RECTANGLE	34.0	535.0	181.0	673.0	263.0	Parabeln.
0 RECTANGLE	35.0	673.0	181.0	717.0	263.0	Da
0 RECTANGLE	36.0	717.0	181.0	773.0	263.0	die
0 RECTANGLE	37.0	773.0	181.0	912.0	263.0	effektive
0 RECTANGLE	38.0	912.0	181.0	996.0	263.0	Masse
0 RECTANGLE	39.0	996.0	181.0	1039.0	263.0	im
0 RECTANGLE	40.0	1039.0	181.0	1137.0	263.0	oberen
0 RECTANGLE	41.0	1137.0	181.0	1206.0	263.0	Teil
0 RECTANGLE	42.0	1206.0	181.0	1261.0	263.0	des
0 RECTANGLE	43.0	1261.0	181.0	1444.0	263.0	Valenzbandes
0 RECTANGLE	44.0	1444.0	181.0	1557.0	263.0	negativ
0 RECTANGLE	45.0	1557.0	181.0	1614.0	263.0	ist,
0 RECTANGLE	46.0	80.0	263.0	143.0	345.0	wird
0 RECTANGLE	47.0	143.0	263.0	198.0	345.0	die
0 RECTANGLE	48.0	198.0	263.0	408.0	345.0	Energieparabel
0 RECTANGLE	49.0	408.0	263.0	465.0	345.0	der
0 RECTANGLE	50.0	465.0	263.0	562.0	345.0	Löcher
0 RECTANGLE	51.0	562.0	263.0	633.0	345.0	nach
0 RECTANGLE	52.0	633.0	263.0	717.0	345.0	unten
0 RECTANGLE	53.0	717.0	263.0	855.0	345.0	gekrümmt.
0 RECTANGLE	54.0	855.0	263.0	954.0	345.0	Daraus
0 RECTANGLE	55.0	954.0	263.0	1067.0	345.0	ergeben
0 RECTANGLE	56.0	1067.0	263.0	1137.0	345.0	sich
0 RECTANGLE	57.0	1137.0	263.0	1263.0	345.0	zwischen
0 RECTANGLE	58.0	1263.0	263.0	1319.0	345.0	den
0 RECTANGLE	59.0	1319.0	263.0	1445.0	345.0	Parabeln
0 RECTANGLE	60.0	1445.0	263.0	1501.0	345.0	die
0 RECTANGLE	61.0	1501.0	263.0	1534.0	345.0	so
0 RECTANGLE	62.0	81.0	345.0	213.0	427.0	genannten
0 RECTANGLE	63.0	213.0	345.0	435.0	427.0	Standardbänder.
0 RECTANGLE	64.0	435.0	345.0	492.0	427.0	Bei
0 RECTANGLE	65.0	492.0	345.0	548.0	427.0	der
0 RECTANGLE	66.0	548.0	345.0	703.0	427.0	Absorption
0 RECTANGLE	67.0	703.0	345.0	786.0	427.0	eines
0 RECTANGLE	68.0	786.0	345.0	898.0	427.0	Photons
0 RECTANGLE	69.0	898.0	345.0	969.0	427.0	kann
0 RECTANGLE	70.0	969.0	345.0	1025.0	427.0	ein
0 RECTANGLE	71.0	1025.0	345.0	1151.0	427.0	Elektron
0 RECTANGLE	72.0	1151.0	345.0	1206.0	427.0	aus
0 RECTANGLE	73.0	1206.0	345.0	1263.0	427.0	dem
0 RECTANGLE	74.0	1263.0	345.0	1417.0	427.0	Valenzband
0 RECTANGLE	75.0	1417.0	345.0	1459.0	427.0	in
0 RECTANGLE	76.0	1459.0	345.0	1505.0	427.0	das
0 RECTANGLE	77.0	83.0	427.0	256.0	509.0	Leitungsband
0 RECTANGLE	78.0	256.0	427.0	380.0	509.0	angeregt
0 RECTANGLE	79.0	380.0	427.0	490.0	509.0	werden.
0 RECTANGLE	80.0	490.0	427.0	562.0	509.0	Weil
0 RECTANGLE	81.0	562.0	427.0	618.0	509.0	der
0 RECTANGLE	82.0	618.0	427.0	800.0	509.0	Wellenvektor
0 RECTANGLE	83.0	800.0	427.0	856.0	509.0	des
0 RECTANGLE	84.0	856.0	427.0	968.0	509.0	Photons
0 RECTANGLE	85.0	968.0	427.0	1039.0	509.0	sehr
0 RECTANGLE	86.0	1039.0	427.0	1123.0	509.0	klein
0 RECTANGLE	87.0	1123.0	427.0	1190.0	509.0	ist,
0 RECTANGLE	88.0	1190.0	427.0	1263.0	509.0	wird
0 RECTANGLE	89.0	1263.0	427.0	1318.0	509.0	die
0 RECTANGLE	90.0	1318.0	427.0	1586.0	509.0	Wahrscheinlichkeit
0 RECTANGLE	91.0	1586.0	427.0	1632.0	509.0	für
0 RECTANGLE	92.0	82.0	509.0	157.0	591.0	einen
0 RECTANGLE	93.0	157.0	509.0	269.0	591.0	solchen
0 RECTANGLE	94.0	269.0	509.0	395.0	591.0	Übergang
0 RECTANGLE	95.0	395.0	509.0	464.0	591.0	viel
0 RECTANGLE	96.0	464.0	509.0	574.0	591.0	größer,
0 RECTANGLE	97.0	574.0	509.0	647.0	591.0	wenn
0 RECTANGLE	98.0	647.0	509.0	702.0	591.0	der
0 RECTANGLE	99.0	702.0	509.0	884.0	591.0	Wellenvektor
0 RECTANGLE	100.0	884.0	509.0	940.0	591.0	des
0 RECTANGLE	101.0	940.0	509.0	1080.0	591.0	Elektrons
0 RECTANGLE	102.0	1080.0	509.0	1165.0	591.0	dabei
0 RECTANGLE	103.0	1165.0	509.0	1290.0	591.0	erhalten
0 RECTANGLE	104.0	1290.0	509.0	1401.0	591.0	bleibt,
0 RECTANGLE	105.0	1401.0	509.0	1457.0	591.0	als
0 RECTANGLE	106.0	1457.0	509.0	1528.0	591.0	wenn
0 RECTANGLE	107.0	1528.0	509.0	1605.0	591.0	wegen
0 RECTANGLE	108.0	81.0	591.0	129.0	673.0	der
0 RECTANGLE	109.0	129.0	591.0	352.0	673.0	Impulserhaltung
0 RECTANGLE	110.0	352.0	591.0	423.0	673.0	beim
0 RECTANGLE	111.0	423.0	591.0	549.0	673.0	Übergang
0 RECTANGLE	112.0	549.0	591.0	703.0	673.0	zusätzlich
0 RECTANGLE	113.0	703.0	591.0	759.0	673.0	ein
0 RECTANGLE	114.0	759.0	591.0	857.0	673.0	Phonon
0 RECTANGLE	115.0	857.0	591.0	982.0	673.0	angeregt
0 RECTANGLE	116.0	982.0	591.0	1080.0	673.0	werden
0 RECTANGLE	117.0	1080.0	591.0	1164.0	673.0	muss.
0 RECTANGLE	118.0	1164.0	591.0	1249.0	673.0	Liegt
0 RECTANGLE	119.0	1249.0	591.0	1303.0	673.0	das
0 RECTANGLE	120.0	1303.0	591.0	1417.0	673.0	Minimum
0 RECTANGLE	121.0	1417.0	591.0	1464.0	673.0	der
0 RECTANGLE	122.0	81.0	673.0	324.0	755.0	Elektronenparabel
0 RECTANGLE	123.0	324.0	673.0	367.0	755.0	im
0 RECTANGLE	124.0	367.0	673.0	522.0	755.0	Valenzband
0 RECTANGLE	125.0	522.0	673.0	661.0	755.0	senkrecht
0 RECTANGLE	126.0	661.0	673.0	730.0	755.0	über
0 RECTANGLE	127.0	730.0	673.0	787.0	755.0	dem
0 RECTANGLE	128.0	787.0	673.0	899.0	755.0	Maximum
0 RECTANGLE	129.0	899.0	673.0	955.0	755.0	der
0 RECTANGLE	130.0	955.0	673.0	1163.0	755.0	Löcherparabel,
0 RECTANGLE	131.0	1163.0	673.0	1207.0	755.0	so
0 RECTANGLE	132.0	1207.0	673.0	1278.0	755.0	sind
0 RECTANGLE	133.0	1278.0	673.0	1430.0	755.0	senkrechte
0 RECTANGLE	134.0	1430.0	673.0	1562.0	755.0	Übergänge
0 RECTANGLE	135.0	80.0	755.0	184.0	837.0	bereits
0 RECTANGLE	136.0	184.0	755.0	226.0	837.0	ab
0 RECTANGLE	137.0	226.0	755.0	465.0	837.0	Photonenenergien
0 RECTANGLE	138.0	465.0	755.0	507.0	837.0	in
0 RECTANGLE	139.0	507.0	755.0	562.0	837.0	der
0 RECTANGLE	140.0	562.0	755.0	646.0	837.0	Größe
0 RECTANGLE	141.0	646.0	755.0	702.0	837.0	der
0 RECTANGLE	142.0	702.0	755.0	842.0	837.0	Bandlücke
0 RECTANGLE	143.0	842.0	755.0	967.0	837.0	möglich.
0 RECTANGLE	144.0	967.0	755.0	1039.0	837.0	Sind
0 RECTANGLE	145.0	1039.0	755.0	1094.0	837.0	die
0 RECTANGLE	146.0	1094.0	755.0	1207.0	837.0	Extrema
0 RECTANGLE	147.0	1207.0	755.0	1402.0	837.0	gegeneinander
0 RECTANGLE	148.0	1402.0	755.0	1569.0	837.0	verschoben,
0 RECTANGLE	149.0	1569.0	755.0	1604.0	837.0	so
0 RECTANGLE	150.0	82.0	837.0	143.0	919.0	sind
0 RECTANGLE	151.0	143.0	837.0	254.0	919.0	direkte
0 RECTANGLE	152.0	254.0	837.0	394.0	919.0	Übergänge
0 RECTANGLE	153.0	394.0	837.0	450.0	919.0	nur
0 RECTANGLE	154.0	450.0	837.0	506.0	919.0	bei
0 RECTANGLE	155.0	506.0	837.0	619.0	919.0	höheren
0 RECTANGLE	156.0	619.0	837.0	856.0	919.0	Photonenenergien
0 RECTANGLE	157.0	856.0	837.0	969.0	919.0	möglich
0 RECTANGLE	158.0	969.0	837.0	1025.0	919.0	und
0 RECTANGLE	159.0	1025.0	837.0	1164.0	919.0	indirekte
0 RECTANGLE	160.0	1164.0	837.0	1304.0	919.0	Übergänge
0 RECTANGLE	161.0	1304.0	837.0	1360.0	919.0	mit
0 RECTANGLE	162.0	1360.0	837.0	1507.0	919.0	wesentlich
0 RECTANGLE	163.0	82.0	919.0	212.0	998.0	kleinerer
0 RECTANGLE	164.0	212.0	919.0	633.0	998.0	Absorptionswahrscheinlichkeit
0 RECTANGLE	165.0	633.0	919.0	703.0	998.0	sind
0 RECTANGLE	166.0	703.0	919.0	759.0	998.0	die
0 RECTANGLE	167.0	759.0	919.0	870.0	998.0	einzige
0 RECTANGLE	168.0	870.0	919.0	1040.0	998.0	Möglichkeit
0 RECTANGLE	169.0	1040.0	919.0	1095.0	998.0	für
