Actual name,New name
ACC_B_Q1,acc_bq_1
ACC_B_Q2,acc_bq_2
ACC_B_Q3,acc_bq_3
ACC_T_Q1,acc_tq_1
ACC_T_Q2,acc_tq_2
ACC_T_Q3,acc_tq_3
Abbreviation,is_abbreviation
Annotated_type_frequency_normalized,
"Avg._cond._prob.,_in_bigrams",avg_cond_prob_in_bigrams
"Avg._cond._prob.,_in_trigrams",avg_cond_prob_in_trigrams
CURRENT_FIX_DURATION,fixation_duration
CURRENT_FIX_INDEX,fixation_index
ClauseBegin,is_clause_beginning
Cumulative_character_bigram_corpus_frequency_normalized,
Cumulative_character_bigram_lexicon_frequency_normalized,
Cumulative_character_corpus_frequency_normalized,
Cumulative_character_lexicon_frequency_normalized,
Cumulative_character_trigram_corpus_frequency_normalized,
Cumulative_character_trigram_lexicon_frequency_normalized,
Cumulative_syllable_corpus_frequency_normalized,
Cumulative_syllable_lexicon_frequency_normalized,
Document_frequency_normalized,
Familiarity_normalized,
Fix_adjusted,is_fixation_adjusted
Hyph,contains_hyphen
Initial_bigram_frequency_normalized,
Initial_letter_frequency_normalized,
Initial_trigram_frequency_normalized,
Lemma,
Lemma_frequency_normalized,
Lemma_length_(characters),lemma_length_chars
Line,line_index
NEXT_SAC_DURATION,next_saccade_duration
"Neighbors_Coltheart_all,_count,_normalized",neighbors_coltheart_all_count_normalized
"Neighbors_Coltheart_all,_cum._freq.,_normalized",neighbors_coltheart_all_cum_freq_normalized
"Neighbors_Coltheart_higher_freq.,_count,_normalized",neighbors_coltheart_higher_freq_count_normalized
"Neighbors_Coltheart_higher_freq.,_cum._freq.,_normalized",neighbors_coltheart_higher_freq_cum_freq_normalized
"Neighbors_Levenshtein_all,_count,_normalized",neighbors_levenshtein_all_count_normalized
"Neighbors_Levenshtein_all,_cum._freq.,_normalized",neighbors_levenshtein_all_cum_freq_normalized
"Neighbors_Levenshtein_higher_freq.,_count,_normalized",neighbors_levenshtein_higher_freq_count_normalized
"Neighbors_Levenshtein_higher_freq.,_cum._freq.,_normalized",neighbors_levenshtein_higher_freq_cum_freq_normalized
ORIGINAL_CURRENT_FIX_INDEX,original_fixation_index
PREVIOUS_SAC_DURATION,previous_saccade_duration
Parentheses,is_in_parentheses
Position,word_limit_char_indices
Quote,is_in_quote
RECORDING_SESSION_LABEL,reader_id
Regularity_normalized,
SSTS-Tag,STTS-tag
STTS_PoSTag,STTS_PoS_tag
STTS_Punctuationafter,STTS_punctuation_after
STTS_Punctuationbefore,STTS_punctuation_before
SentIndex,sent_index_in_text
SentenceBegin,is_sent_beginning
SentenceIndex,sent_index_in_text
Sentence_frequency_normalized,
Syllables,
Symbol,contains_symbol
TechnialTerm,is_technical_term
Text,
Type,
Type_frequency_normalized,
Type_length_(characters),type_length_chars
Type_length_(syllables),type_length_syllables
WORD,word
WORD_INDEX,word_index_in_text
Word,
WordIndexInSentence,word_index_in_sent
WordIndexInText,word_index_in_text
WordIndexSent,word_index_in_sent
WordLen,word_length
age,
alcohol,
beginner/expert,expert_status
charIndexInText,char_index_in_text
character,
containsAbbr,contains_abbreviation
expert_status,
gender,
glasses,
group,domain_expert_status
handedness,
hours_sleep,
index_inline,index_in_line
isAbbr,is_abbreviation
itemid,text_id
line,
major,
meanAccBQ,mean_acc_bq
meanAccTQ,mean_acc_tq
reader,
readerId,reader_id
roi,
sentIndex,sent_index_in_text
textID,text_id
topic,
trial,
version,
word,
wordIndexInText,word_index_in_text
WORD_INDEX_IN_SENT,word_index_in_sent
SENT_INDEX_IN_TEXT,sent_index_in_text
MEAN_ACC_BQ,mean_acc_bq
MEAN_ACC_TQ,mean_acc_tq
DOMAIN_EXPERT_STATUS,domain_expert_status
ACC_BQ_1,acc_bq_1
ACC_BQ_2,acc_bq_2
ACC_BQ_3,acc_bq_3
ACC_TQ_1,acc_tq_1
ACC_TQ_2,acc_tq_2
ACC_TQ_3,acc_tq_3
ssts-tag,STTS-tag
set_index_in_text,sent_index_in_text
TRC_OUT,TRC_out
TRC_IN,TRC_in
SL_IN,SL_in
SL_OUT,SL_out
TEXT_ID,text_id
RPD_EXC,RPD_exc
RPD_inc,RPD_inc
mean_acc_bq ,mean_acc_bq
FIX,Fix
fix,Fix
FPREG,FPReg
RPD_INC,RPD_inc
 mean_acc_bq,mean_acc_bq
 mean_acc_tq,mean_acc_tq
 domain_expert_status,domain_expert_status
